Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-11-15,1,DETROIT LIONS,Oregon,Pac 12,35
2,1,Derek Stingley Jr.,LSU,CB,2021-11-15,3,NEW YORK JETS,Louisiana,SEC,35
3,2,Evan Neal,Alabama,OT,2021-11-15,4,JACKSONVILLE JAGUARS,Alabama,SEC,35
4,3,Kyle Hamilton,Notre Dame,S,2021-11-15,Possible 1st round pick,No Consensus Available,Indiana,FBS - Independent,35
5,4,Aidan Hutchinson,Michigan,EDGE,2021-11-15,6,PHILADELPHIA EAGLES,Michigan,Big Ten,35
6,6,Matt Corral,Ole Miss,QB,2021-11-15,2,HOUSTON TEXANS,Mississippi,SEC,35
7,5,DeMarvin Leal,Texas A&M,DL,2021-11-15,7,PHILADELPHIA EAGLES,Texas,SEC,35
8,7,George Karlaftis,Purdue,EDGE,2021-11-15,10,MIAMI DOLPHINS,Indiana,Big Ten,35
9,7,Tyler Linderbaum,Iowa,IOL,2021-11-15,8,NEW YORK GIANTS,Iowa,Big Ten,35
10,6,Kenyon Green,Texas A&M,IOL,2021-11-15,9,NEW YORK GIANTS,Texas,SEC,35
11,6,Andrew Booth Jr.,Clemson,CB,2021-11-15,12,MINNESOTA VIKINGS,South Carolina,ACC,30
12,1,Chris Olave,Ohio State,WR,2021-11-15,17,CLEVELAND BROWNS,Ohio,Big Ten,30
13,6,Kaiir Elam,Florida,CB,2021-11-15,20,NEW ENGLAND PATRIOTS,Florida,SEC,30
14,3,Jordan Davis,Georgia,DL,2021-11-15,19,ATLANTA FALCONS,Georgia,SEC,30
15,9,Malik Willis,Liberty,QB,2021-11-15,5,WASHINGTON FOOTBALL TEAM,Virginia,FCS,30
16,14,Ahmad Gardner,Cincinnati,CB,2021-11-15,16,CINCINNATI BENGALS,Ohio,FBS - AAC,30
17,17,Treylon Burks,Arkansas,WR,2021-11-15,23,LAS VEGAS RAIDERS,Arkansas,SEC,30
18,9,Garrett Wilson,Ohio State,WR,2021-11-15,18,KANSAS CITY CHIEFS,Ohio,Big Ten,30
19,18,Drake London,USC,WR,2021-11-15,21,NEW ORLEANS SAINTS,California,Pac 12,30
20,7,Drake Jackson,USC,EDGE,2021-11-15,11,NEW YORK JETS,California,Pac 12,30
21,21,Devin Lloyd,Utah,LB,2021-11-15,30,GREEN BAY PACKERS,Utah,Pac 12,30
22,17,Darian Kinnard,Kentucky,OT,2021-11-15,29,BALTIMORE RAVENS,Kentucky,SEC,30
23,14,Charles Cross,Mississippi State,OT,2021-11-15,13,CAROLINA PANTHERS,Mississippi,SEC,30
24,17,Ikem Ekwonu,NC State,IOL,2021-11-15,Possible 1st round pick,No Consensus Available,North Carolina,ACC,30
25,16,Trent McDuffie,Washington,CB,2021-11-15,25,BUFFALO BILLS,Washington,Pac 12,30
26,25,Trevor Penning,Northern Iowa,OT,2021-11-15,Possible 1st round pick,No Consensus Available,Iowa,FCS,25
27,27,Nakobe Dean,Georgia,LB,2021-11-15,14,PHILADELPHIA EAGLES,Georgia,SEC,25
28,28,Daxton Hill,Michigan,S,2021-11-15,24,DALLAS COWBOYS,Michigan,Big Ten,25
29,1,Sam Howell,North Carolina,QB,2021-11-15,15,DENVER BRONCOS,North Carolina,ACC,25
30,30,Jahan Dotson,Penn State,WR,2021-11-15,Possible 1st round pick,No Consensus Available,Pennsylvania,Big Ten,25
31,13,Myjai Sanders,Cincinnati,EDGE,2021-11-15,Possible 1st round pick,No Consensus Available,Ohio,FBS - AAC,25
32,8,Carson Strong,Nevada,QB,2021-11-15,28,DETROIT LIONS,Nevada,FBS - Mountain West,25
33,14,Kingsley Enagbare,South Carolina,EDGE,2021-11-15,,,South Carolina,SEC,25
34,30,Brandon Smith,Penn State,LB,2021-11-15,,,Pennsylvania,Big Ten,25
35,18,Jordan Battle,Alabama,S,2021-11-15,,,Alabama,SEC,25
36,13,Jaxson Kirkland,Washington,OT,2021-11-15,,,Washington,Pac 12,20
37,9,Christian Harris,Alabama,LB,2021-11-15,,,Alabama,SEC,20
38,18,Isaiah Spiller,Texas A&M,RB,2021-11-15,32,ARIZONA CARDINALS,Texas,SEC,20
39,26,Sean Rhyan,UCLA,OT,2021-11-15,22,PITTSBURGH STEELERS,California,Pac 12,20
40,22,Adam Anderson,Georgia,EDGE,2021-11-15,26,LOS ANGELES CHARGERS,Georgia,SEC,20
41,13,Jalen Wydermyer,Texas A&M,TE,2021-11-15,31,TENNESSEE TITANS,Texas,SEC,20
42,5,George Pickens,Georgia,WR,2021-11-15,,,Georgia,SEC,20
43,35,Kenny Pickett,Pitt,QB,2021-11-15,,,Pennsylvania,ACC,20
44,33,Nicholas Petit-Frere,Ohio State,OT,2021-11-15,,,Ohio,Big Ten,20
45,18,Zion Johnson,Boston College,IOL,2021-11-15,,,Massachusetts,ACC,20
46,20,Brandon Joseph,Northwestern,S,2021-11-15,,,Illinois,Big Ten,20
