Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2022-01-03,2,DETROIT LIONS,Oregon,Pac 12,35
2,1,Aidan Hutchinson,Michigan,EDGE,2022-01-03,1,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
3,2,Evan Neal,Alabama,OT,2022-01-03,3,HOUSTON TEXANS,Alabama,SEC,35
4,1,Kyle Hamilton,Notre Dame,S,2022-01-03,7,NEW YORK JETS,Indiana,FBS - Independent,35
5,1,Derek Stingley Jr.,LSU,CB,2022-01-03,4,NEW YORK JETS,Louisiana,SEC,35
6,5,George Karlaftis,Purdue,EDGE,2022-01-03,5,NEW YORK GIANTS,Indiana,Big Ten,35
7,7,Ikem Ekwonu,NC State,OT,2022-01-03,8,NEW YORK GIANTS,North Carolina,ACC,35
8,8,Charles Cross,Mississippi State,OT,2022-01-03,16,BALTIMORE RAVENS,Mississippi,SEC,35
9,4,DeMarvin Leal,Texas A&M,DL,2022-01-03,10,ATLANTA FALCONS,Texas,SEC,35
10,6,Kenyon Green,Texas A&M,IOL,2022-01-03,22,MIAMI DOLPHINS,Texas,SEC,35
11,9,Garrett Wilson,Ohio State,WR,2022-01-03,13,CLEVELAND BROWNS,Ohio,Big Ten,30
12,7,Matt Corral,Ole Miss,QB,2022-01-03,9,WASHINGTON FOOTBALL TEAM,Mississippi,SEC,30
13,7,Tyler Linderbaum,Iowa,IOL,2022-01-03,Possible 1st round pick,No Consensus Available,Iowa,Big Ten,30
14,14,Kenny Pickett,Pitt,QB,2022-01-03,6,CAROLINA PANTHERS,Pennsylvania,ACC,30
15,6,Andrew Booth Jr.,Clemson,CB,2022-01-03,12,MINNESOTA VIKINGS,South Carolina,ACC,30
16,12,Devin Lloyd,Utah,LB,2022-01-03,14,PHILADELPHIA EAGLES,Utah,Pac 12,30
17,5,Jordan Davis,Georgia,DL,2022-01-03,20,LOS ANGELES CHARGERS,Georgia,SEC,30
18,16,Jameson Williams,Alabama,WR,2022-01-03,15,NEW ORLEANS SAINTS,Alabama,SEC,30
19,13,Ahmad Gardner,Cincinnati,CB,2022-01-03,19,PHILADELPHIA EAGLES,Ohio,FBS - AAC,30
20,5,Kaiir Elam,Florida,CB,2022-01-03,21,PHILADELPHIA EAGLES,Florida,SEC,30
21,19,David Ojabo,Michigan,EDGE,2022-01-03,11,DENVER BRONCOS,Michigan,Big Ten,30
22,1,Chris Olave,Ohio State,WR,2022-01-03,23,NEW ENGLAND PATRIOTS,Ohio,Big Ten,30
23,15,Treylon Burks,Arkansas,WR,2022-01-03,Possible 1st round pick,No Consensus Available,Arkansas,SEC,30
24,1,Drake Jackson,USC,EDGE,2022-01-03,Possible 1st round pick,No Consensus Available,California,Pac 12,30
25,25,Jaquan Brisker,Penn State,S,2022-01-03,Possible 1st round pick,No Consensus Available,Pennsylvania,Big Ten,30
26,16,Drake London,USC,WR,2022-01-03,18,LAS VEGAS RAIDERS,California,Pac 12,25
27,20,Trevor Penning,Northern Iowa,OT,2022-01-03,26,CINCINNATI BENGALS,Iowa,FCS,25
28,19,Nakobe Dean,Georgia,LB,2022-01-03,30,DETROIT LIONS,Georgia,SEC,25
29,22,Jahan Dotson,Penn State,WR,2022-01-03,27,DALLAS COWBOYS,Pennsylvania,Big Ten,25
