School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,260,8
Ohio State,Big Ten,225,7
Oklahoma,Big 12,90,3
Clemson,ACC,60,2
Georgia,SEC,60,2
Florida,SEC,55,2
Texas A&M,SEC,55,2
LSU,SEC,55,2
USC,Pac 12,35,1
Miami (FL),ACC,30,1
Wisconsin,Big Ten,25,1
Maryland,Big Ten,25,1
