State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,260,1,8
Ohio,225,1,7
Oklahoma,90,1,3
Florida,85,2,3
South Carolina,60,1,2
Georgia,60,1,2
Texas,55,1,2
Louisiana,55,1,2
California,35,1,1
Wisconsin,25,1,1
Maryland,25,1,1
