State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,417,16,116
Alabama,298,6,50
Ohio,269,7,49
South Carolina,227,3,39
Florida,212,6,58
Oregon,206,2,24
Pennsylvania,176,2,38
Indiana,167,3,35
California,153,10,45
Louisiana,140,5,34
Tennessee,136,5,30
Georgia,118,4,33
North Carolina,109,7,35
Utah,107,2,21
Arizona,94,2,23
Michigan,93,4,25
Oklahoma,85,3,28
Iowa,70,2,15
Illinois,65,4,21
Missouri,51,1,13
Kentucky,50,3,22
Washington,50,1,6
Mississippi,44,3,24
Virginia,38,6,29
Arkansas,36,2,12
North Dakota,33,2,4
Colorado,28,2,15
Kansas,25,2,16
Massachusetts,21,3,9
Wisconsin,19,1,10
Minnesota,18,1,9
New Jersey,12,1,7
Idaho,10,1,5
Connecticut,9,1,3
West Virginia,8,2,8
Nebraska,8,1,6
Wyoming,8,1,3
New York,6,2,6
Nevada,5,1,5
South Dakota,5,1,1
Maryland,4,1,3
New Mexico,3,2,3
Delaware,1,1,1
