State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,414,16,115
Alabama,282,6,50
Ohio,257,7,48
South Carolina,244,3,39
Florida,226,6,58
Oregon,195,2,24
Pennsylvania,168,2,38
Indiana,164,3,34
California,145,10,44
Louisiana,141,5,34
Tennessee,131,5,27
Georgia,124,4,33
North Carolina,115,7,35
Michigan,98,4,24
Utah,98,2,20
Oklahoma,92,3,28
Arizona,92,2,23
Iowa,80,2,15
Illinois,67,4,21
Kentucky,65,3,22
Virginia,48,6,29
Washington,47,1,6
Mississippi,44,3,24
Missouri,44,1,14
Kansas,33,2,16
Massachusetts,31,3,9
Colorado,28,2,15
Arkansas,25,2,11
Wisconsin,19,1,10
Minnesota,19,1,9
North Dakota,12,2,4
Wyoming,12,1,3
New Jersey,11,1,6
Idaho,9,1,5
West Virginia,8,2,8
Nebraska,7,1,6
New York,6,2,6
South Dakota,6,1,1
Nevada,5,1,5
Connecticut,4,1,3
Maryland,4,1,3
New Mexico,3,2,3
Delaware,1,1,1
