State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,373,13,100
South Carolina,323,3,35
Florida,315,8,62
Alabama,302,5,47
Pennsylvania,209,3,33
Louisiana,185,4,35
Georgia,167,3,37
Oregon,160,3,20
Ohio,152,5,34
Indiana,140,3,26
California,139,9,36
Tennessee,99,3,27
Arizona,92,2,19
Michigan,90,3,25
Utah,90,3,16
Mississippi,86,3,25
Oklahoma,84,3,25
North Carolina,60,7,29
Illinois,59,2,16
Iowa,54,2,13
Virginia,47,5,17
Colorado,35,2,13
Washington,33,2,9
Missouri,33,1,9
Kentucky,30,2,19
Wisconsin,26,1,8
Kansas,18,2,11
West Virginia,18,2,8
Arkansas,17,2,6
Idaho,13,1,4
Massachusetts,10,2,4
New Jersey,7,1,3
Nebraska,6,1,6
Nevada,6,2,6
New York,4,2,4
Maryland,4,1,4
Minnesota,2,1,2
Connecticut,2,1,2
Wyoming,1,1,1
