State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,424,16,119
Alabama,279,6,50
Ohio,275,7,49
South Carolina,218,3,41
Florida,214,6,58
Oregon,205,2,24
Indiana,181,3,35
California,161,10,45
Pennsylvania,155,2,38
Tennessee,138,5,29
Louisiana,129,5,35
North Carolina,115,7,36
Georgia,109,4,33
Utah,96,2,21
Michigan,94,4,25
Arizona,94,2,23
Oklahoma,91,3,28
Iowa,78,2,15
Illinois,67,4,21
Missouri,62,1,15
Kentucky,58,3,22
Arkansas,50,2,13
Washington,50,1,6
Virginia,47,6,31
Mississippi,38,3,24
Massachusetts,30,3,10
North Dakota,30,2,4
Colorado,28,2,15
Kansas,21,2,16
Minnesota,18,1,9
Wisconsin,15,1,10
New Jersey,12,1,7
New York,11,2,7
West Virginia,9,2,8
Idaho,9,1,5
Connecticut,8,1,3
Wyoming,8,1,3
Nebraska,6,1,6
Nevada,5,1,5
Maryland,3,1,3
New Mexico,3,2,3
South Dakota,2,1,1
Delaware,1,1,1
