State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,436,16,121
Ohio,280,7,49
Alabama,277,6,50
South Carolina,256,3,41
Florida,211,6,58
Oregon,210,2,24
Indiana,191,3,35
Pennsylvania,159,2,38
California,152,10,46
Tennessee,133,5,30
Louisiana,124,5,35
Georgia,115,4,33
North Carolina,107,7,36
Arizona,104,2,23
Utah,98,2,21
Oklahoma,86,3,28
Michigan,77,4,26
Iowa,72,2,15
Illinois,63,4,21
Missouri,62,1,14
Kentucky,58,3,22
Mississippi,50,3,25
Virginia,49,6,31
Washington,45,1,6
Arkansas,44,2,13
Kansas,26,2,16
Colorado,25,2,15
Massachusetts,21,3,10
Minnesota,18,1,9
New Jersey,13,1,7
Connecticut,12,1,3
New York,11,2,7
Wisconsin,10,1,10
North Dakota,10,2,4
Nebraska,9,1,7
Idaho,9,1,5
West Virginia,8,2,8
Wyoming,8,1,3
Nevada,5,1,5
Maryland,3,1,3
New Mexico,3,2,3
South Dakota,2,1,1
Delaware,1,1,1
