State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,424,11,72
Florida,315,6,48
Alabama,305,4,46
Georgia,233,2,30
South Carolina,232,3,23
Louisiana,199,4,27
Pennsylvania,187,3,29
Oregon,149,2,16
Ohio,143,4,27
Tennessee,138,3,23
Kentucky,109,2,16
Oklahoma,96,2,13
Indiana,76,3,18
Arizona,70,2,9
Mississippi,65,3,14
Michigan,63,2,19
Utah,53,2,10
California,50,4,21
Washington,43,2,7
Kansas,42,2,7
North Carolina,41,6,16
Nebraska,37,1,4
Colorado,29,1,7
Illinois,21,2,6
Arkansas,18,2,4
Iowa,17,2,9
Minnesota,15,1,1
Idaho,15,1,1
Wisconsin,13,1,7
Virginia,11,3,6
West Virginia,11,1,2
New York,8,2,2
Nevada,7,2,5
New Jersey,6,1,2
Missouri,4,1,3
Maryland,3,1,3
Massachusetts,2,1,2
Connecticut,1,1,1
