State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,391,13,100
Florida,345,8,62
Alabama,326,5,47
South Carolina,306,3,35
Georgia,203,3,37
Louisiana,179,4,35
Pennsylvania,173,3,31
Ohio,162,5,34
Oregon,148,3,20
Indiana,134,3,25
California,109,8,34
Tennessee,108,3,27
Mississippi,103,3,25
Oklahoma,100,3,25
Arizona,95,2,19
Michigan,80,3,24
Utah,80,3,15
North Carolina,45,7,29
Virginia,45,5,17
Kentucky,44,2,18
Missouri,40,1,9
Illinois,39,2,15
Washington,38,2,9
Colorado,28,2,13
West Virginia,24,2,8
Arkansas,23,2,6
Kansas,19,2,10
Iowa,14,2,10
Nebraska,13,1,6
Wisconsin,12,1,8
New Jersey,11,1,3
New York,8,2,4
Idaho,8,1,3
Minnesota,7,1,2
Nevada,6,2,6
Massachusetts,4,2,4
Maryland,4,1,4
Connecticut,2,1,2
Wyoming,1,1,1
