State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,366,5,25
Texas,277,5,30
Alabama,252,4,23
Georgia,244,2,20
South Carolina,201,2,14
Pennsylvania,152,2,14
Ohio,150,1,12
Oklahoma,137,2,9
Indiana,133,3,11
Tennessee,124,3,15
Louisiana,104,1,10
California,96,4,11
Oregon,90,1,8
Nebraska,72,1,4
Utah,65,1,4
North Carolina,63,4,6
Arkansas,57,2,4
Arizona,53,2,4
Michigan,49,2,7
Kentucky,38,2,2
Illinois,26,1,3
Minnesota,25,1,1
Mississippi,21,2,3
Kansas,15,1,2
West Virginia,15,1,1
Wisconsin,12,1,2
Colorado,12,1,2
Washington,10,1,1
Iowa,10,1,1
New York,10,1,1
Virginia,7,1,1
New Jersey,6,1,1
Idaho,6,1,1
Missouri,5,1,1
Nevada,2,1,1
