State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,373,16,115
Alabama,283,7,51
South Carolina,258,3,40
Florida,240,6,58
Ohio,236,7,48
Oregon,202,2,25
Pennsylvania,179,2,38
Indiana,178,3,34
Louisiana,149,5,34
California,137,10,45
Tennessee,131,5,27
Georgia,130,4,32
North Carolina,105,7,35
Arizona,105,2,23
Utah,104,2,20
Oklahoma,92,3,28
Michigan,86,4,25
Iowa,74,2,15
Illinois,70,4,21
Washington,70,1,7
Virginia,50,6,29
Mississippi,50,3,25
Kentucky,46,3,22
Missouri,40,1,14
Arkansas,34,2,11
Colorado,30,2,15
Massachusetts,30,3,9
Kansas,26,2,16
Minnesota,21,1,9
Wisconsin,16,1,10
New Jersey,14,1,6
Wyoming,12,1,3
West Virginia,9,2,8
Idaho,9,1,5
North Dakota,8,2,4
Nebraska,7,1,6
New York,6,2,6
Nevada,5,1,5
South Dakota,5,1,1
Maryland,3,1,3
Connecticut,3,1,3
New Mexico,3,2,3
