State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,438,15,124
Alabama,319,5,52
South Carolina,295,3,38
Florida,235,8,64
Pennsylvania,208,3,40
Ohio,197,7,48
Indiana,180,3,31
Oregon,168,3,23
Georgia,151,3,38
Louisiana,144,4,35
California,111,9,39
Arizona,101,2,21
Utah,97,3,15
North Carolina,90,7,40
Tennessee,82,4,28
Michigan,79,3,28
Illinois,78,3,22
Iowa,77,2,16
Oklahoma,73,3,26
Kentucky,58,2,25
Missouri,54,1,11
Mississippi,52,3,26
Washington,48,2,10
Virginia,42,6,26
Colorado,38,2,14
Kansas,38,2,14
Minnesota,29,1,8
Massachusetts,25,3,9
Wisconsin,23,1,10
Connecticut,14,1,4
Nebraska,13,1,7
Arkansas,12,2,6
Idaho,12,1,5
West Virginia,10,2,9
Wyoming,9,1,3
North Dakota,8,2,2
Maryland,7,1,4
Nevada,6,2,5
New Jersey,4,1,4
New York,3,2,3
South Dakota,1,1,1
