State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,377,14,108
South Carolina,317,3,36
Alabama,299,5,50
Florida,282,8,63
Pennsylvania,227,3,37
Indiana,195,3,32
Oregon,174,3,22
Georgia,173,3,38
Louisiana,155,4,34
Ohio,151,6,36
California,135,9,37
Utah,94,3,16
Arizona,89,2,18
Tennessee,78,3,27
Oklahoma,74,3,25
Michigan,73,3,26
Illinois,70,2,17
North Carolina,67,7,29
Mississippi,66,3,25
Iowa,63,2,14
Colorado,43,2,14
Washington,39,2,9
Virginia,36,5,18
Kansas,36,2,12
Kentucky,34,2,20
Missouri,26,1,9
Massachusetts,23,2,4
Minnesota,20,1,5
West Virginia,16,2,8
Arkansas,14,2,6
Wisconsin,13,1,8
Maryland,12,1,4
Idaho,11,1,4
Nebraska,10,1,6
Connecticut,9,1,3
New Jersey,7,1,3
Nevada,6,2,6
Wyoming,6,1,1
North Dakota,6,1,1
New York,4,2,4
