State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,462,13,98
Florida,328,8,61
Alabama,301,5,47
Georgia,289,3,36
South Carolina,239,3,32
Louisiana,194,4,33
Pennsylvania,166,3,30
Ohio,150,5,34
Tennessee,143,3,28
Oregon,143,3,20
Kentucky,110,2,19
Oklahoma,106,3,23
Indiana,82,3,24
Arizona,77,2,18
Mississippi,73,3,23
Michigan,72,3,23
California,61,8,34
Utah,60,3,14
North Carolina,49,7,28
Washington,44,2,8
Kansas,42,2,10
Colorado,34,2,12
Nebraska,34,1,6
Illinois,33,2,15
Virginia,20,5,15
Iowa,18,2,10
Arkansas,18,2,6
Idaho,17,1,3
Minnesota,16,1,2
Wisconsin,14,1,8
West Virginia,14,2,7
New York,10,2,4
Missouri,9,1,8
Nevada,8,2,6
New Jersey,7,1,3
Massachusetts,4,2,4
Maryland,4,1,4
Connecticut,2,1,2
Wyoming,1,1,1
