State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,398,8,49
Florida,305,6,30
Alabama,287,4,29
Georgia,243,2,23
South Carolina,226,2,14
Pennsylvania,161,2,15
Ohio,142,4,18
Louisiana,140,3,19
Oklahoma,125,2,13
Tennessee,113,3,18
Kentucky,97,3,10
Oregon,96,1,10
Indiana,81,2,10
California,79,4,12
Arizona,64,2,6
Utah,58,2,8
Mississippi,56,3,9
Idaho,55,1,2
Michigan,51,2,10
North Carolina,49,3,7
Kansas,37,2,4
Nebraska,25,1,2
Minnesota,20,1,1
Virginia,19,3,5
Illinois,18,1,3
Arkansas,18,2,3
Iowa,14,2,3
Wisconsin,12,1,4
Colorado,11,1,3
West Virginia,10,1,1
Washington,10,1,1
New York,9,2,2
New Jersey,6,1,1
Missouri,5,1,1
Nevada,2,1,1
Massachusetts,1,1,1
