State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,424,17,127
Ohio,300,7,51
Alabama,266,6,52
South Carolina,238,3,42
Florida,221,7,60
Oregon,208,2,25
Indiana,201,3,36
California,164,10,48
Pennsylvania,144,2,39
Tennessee,134,5,32
Louisiana,129,5,35
Georgia,128,4,34
Arizona,105,2,23
Utah,104,2,22
North Carolina,99,7,36
Michigan,83,4,28
Oklahoma,77,3,27
Iowa,76,2,17
Illinois,71,4,23
Missouri,63,1,15
Virginia,58,6,34
Mississippi,53,3,27
Washington,51,1,7
Kentucky,47,3,22
Arkansas,41,2,13
Kansas,27,2,17
Minnesota,24,1,9
Colorado,22,2,15
Massachusetts,20,2,10
Wisconsin,15,1,9
Nebraska,14,1,8
New Jersey,13,1,7
North Dakota,13,2,4
Connecticut,12,1,3
Idaho,11,1,6
New York,7,2,7
West Virginia,7,2,7
Nevada,6,1,6
Maryland,5,2,5
Wyoming,5,1,3
New Mexico,3,2,3
Delaware,1,1,1
South Dakota,1,1,1
