School,Conference,ProjectedPoints,NumberOfProspects
Georgia,SEC,224,24
Texas,SEC,196,18
Alabama,SEC,190,21
Miami (FL),ACC,161,16
Clemson,ACC,157,13
Ohio State,Big Ten,155,13
Oregon,Big Ten,141,21
Tennessee,SEC,121,12
Florida,SEC,119,16
Auburn,SEC,112,14
Oklahoma,SEC,108,15
South Carolina,SEC,105,10
LSU,SEC,96,22
Notre Dame,FBS - Independent,93,12
Florida State,ACC,91,13
Michigan,Big Ten,90,12
Michigan State,Big Ten,71,4
Penn State,Big Ten,69,14
Nebraska,Big Ten,69,6
Wisconsin,Big Ten,63,7
Texas A&M,SEC,61,9
USC,Big Ten,47,10
Minnesota,Big Ten,43,4
Colorado,Big 12,37,5
North Carolina,ACC,35,5
Oklahoma State,Big 12,30,1
Missouri,SEC,29,5
Rutgers,Big Ten,28,4
Washington,Big Ten,28,3
Kentucky,SEC,26,7
Pitt,ACC,26,3
Louisville,ACC,25,1
Arkansas,SEC,20,5
Ole Miss,SEC,19,6
Texas Tech,Big 12,16,7
Virginia Tech,ACC,16,3
TCU,Big 12,15,3
Mississippi State,SEC,14,4
Stanford,ACC,14,3
Purdue,Big Ten,14,3
NC State,ACC,13,4
Iowa,Big Ten,13,4
Kansas,Big 12,12,2
Cincinnati,Big 12,11,2
Vanderbilt,SEC,10,1
Georgia Tech,ACC,9,2
Kansas State,Big 12,8,1
Wake Forest,ACC,8,1
BYU,Big 12,7,2
Utah,Big 12,7,2
West Virginia,Big 12,7,1
Syracuse,ACC,6,2
Arizona,Big 12,6,2
UCF,Big 12,4,3
UCLA,Big Ten,3,3
Maryland,Big Ten,3,2
Indiana,Big Ten,2,2
Illinois,Big Ten,2,1
Arizona State,Big 12,2,1
South Florida,FBS - AAC,1,1
Baylor,Big 12,1,1
Princeton,FCS,1,1
