School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,332,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Clemson,ACC,182,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Ohio State,Big Ten,179,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Georgia,SEC,167,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Notre Dame,FBS - Independent,144,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
LSU,SEC,116,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Pitt,ACC,97,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
Texas,Big 12,95,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Oregon,Pac 12,77,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Miami (FL),ACC,76,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Oklahoma,Big 12,75,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Florida,SEC,73,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Texas A&M,SEC,68,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
South Carolina,SEC,67,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
TCU,Big 12,67,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Auburn,SEC,66,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Washington,Pac 12,62,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Maryland,Big Ten,61,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Arkansas,SEC,60,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Iowa,Big Ten,59,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Ole Miss,SEC,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Penn State,Big Ten,49,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Florida State,ACC,44,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Coastal Carolina,FCS,39,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/coastal_carolina.svg
North Carolina,ACC,38,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Stanford,Pac 12,37,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
Iowa State,Big 12,36,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
Michigan,Big Ten,35,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Northwestern,Big Ten,35,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northwestern.svg
Utah,Pac 12,33,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Kentucky,SEC,32,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Boston College,ACC,32,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boston_college.svg
Baylor,Big 12,29,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/baylor.svg
Syracuse,ACC,29,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/syracuse.svg
NC State,ACC,24,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Michigan State,Big Ten,23,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg
Minnesota,Big Ten,22,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Washington State,Pac 12,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington_st.svg
Tennessee,SEC,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Mississippi State,SEC,20,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
BYU,FBS - Independent,20,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg
Rutgers,Big Ten,20,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
Wisconsin,Big Ten,18,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Georgia Tech,ACC,17,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_tech.svg
Fresno State,FBS - Mountain West,17,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/fresno_st.svg
Arizona State,Pac 12,16,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg
West Virginia,Big 12,15,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
San Jose State,FBS - Mountain West,14,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_jose_st.svg
Indiana,Big Ten,14,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/indiana.svg
UCLA,Pac 12,13,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Louisville,ACC,13,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Virginia,ACC,13,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia.svg
USC,Pac 12,12,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Virginia Tech,ACC,10,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
UTSA,FBS - CUSA,10,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg
Cincinnati,FBS - AAC,9,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
UCF,FBS - AAC,8,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
SMU,FBS - AAC,8,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
Nebraska,Big Ten,8,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
Louisiana Tech,FBS - CUSA,8,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/la_tech.svg
Marshall,FBS - CUSA,8,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/marshall.svg
Memphis,FBS - AAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/memphis.svg
Tulane,FBS - AAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulane.svg
Wake Forest,ACC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wake_forest.svg
South Florida,FBS - AAC,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_florida.svg
Oregon State,Pac 12,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
Purdue,Big Ten,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Nevada,FBS - Mountain West,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nevada.svg
Kansas State,Big 12,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Eastern Washington,FCS,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/eastern_washington.svg
Missouri,SEC,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
UAB,FBS - CUSA,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uab.svg
Arizona,Pac 12,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Louisiana-Lafayette,FBS - Sun Belt,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisiana_lafayette.svg
Kansas,Big 12,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
Boise State,FBS - Mountain West,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Troy,FBS - Sun Belt,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/troy.svg
Oklahoma State,Big 12,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Houston,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston.svg
Texas Tech,Big 12,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_tech.svg
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah_st.svg
East Carolina,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/east_carolina.svg
Arkansas State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas_st.svg
