School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,222,12
Clemson,ACC,192,9
LSU,SEC,144,7
Oklahoma,Big 12,139,8
Georgia,SEC,131,11
Ohio State,Big Ten,128,9
TCU,Big 12,87,4
Texas A&M,SEC,84,7
Notre Dame,FBS - Independent,81,6
Florida,SEC,75,4
Florida State,ACC,72,4
Georgia Tech,ACC,67,3
Syracuse,ACC,65,3
Auburn,SEC,65,3
Oregon,Pac 12,60,3
Texas,Big 12,59,4
South Carolina,SEC,52,4
Penn State,Big Ten,45,4
North Carolina,ACC,45,4
Coastal Carolina,FCS,43,2
Iowa State,Big 12,41,6
Mississippi State,SEC,38,3
Nebraska,Big Ten,36,2
Maryland,Big Ten,33,2
Wake Forest,ACC,30,2
Northwestern,Big Ten,30,1
Miami (FL),ACC,28,3
Virginia Tech,ACC,26,2
Louisiana Tech,FBS - CUSA,25,1
Houston,FBS - AAC,25,1
West Virginia,Big 12,20,1
BYU,FBS - Independent,20,1
Kentucky,SEC,20,1
Wisconsin,Big Ten,17,2
Stanford,Pac 12,17,2
Washington,Pac 12,15,1
Pitt,ACC,15,1
Louisville,ACC,10,1
Michigan,Big Ten,10,1
USC,Pac 12,10,1
Arizona State,Pac 12,10,1
Duke,ACC,8,1
Kansas State,Big 12,8,1
UCF,FBS - AAC,8,1
Ole Miss,SEC,8,1
Arkansas State,FBS - Sun Belt,8,1
UAB,FBS - CUSA,7,1
Minnesota,Big Ten,7,1
East Carolina,FBS - AAC,7,1
Memphis,FBS - AAC,7,1
Boise State,FBS - Mountain West,7,1
Arkansas,SEC,6,1
