School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,236,13
Notre Dame,FBS - Independent,163,10
Ohio State,Big Ten,154,12
Clemson,ACC,149,11
Florida,SEC,129,9
Georgia,SEC,111,12
Florida State,ACC,97,10
Miami (FL),ACC,95,9
Pitt,ACC,90,6
LSU,SEC,86,8
Iowa,Big Ten,85,5
North Carolina,ACC,84,8
Penn State,Big Ten,81,6
Oklahoma,Big 12,80,12
Texas,Big 12,78,8
Arkansas,SEC,75,5
TCU,Big 12,73,6
Oregon,Pac 12,72,6
South Carolina,SEC,69,9
Texas A&M,SEC,68,9
Auburn,SEC,50,7
Iowa State,Big 12,45,8
Minnesota,Big Ten,45,5
NC State,ACC,45,5
Kentucky,SEC,42,5
Maryland,Big Ten,40,4
Washington,Pac 12,38,3
Boston College,ACC,37,3
Stanford,Pac 12,31,4
Coastal Carolina,FCS,29,3
Mississippi State,SEC,27,4
Troy,FBS - Sun Belt,27,3
Wisconsin,Big Ten,26,4
Arizona State,Pac 12,25,3
Utah,Pac 12,25,3
Indiana,Big Ten,25,2
Rutgers,Big Ten,25,1
Northwestern,Big Ten,25,1
Wake Forest,ACC,23,3
Louisiana Tech,FBS - CUSA,22,2
USC,Pac 12,20,4
Georgia Tech,ACC,20,3
Michigan State,Big Ten,19,4
Michigan,Big Ten,18,3
Fresno State,FBS - Mountain West,18,2
Louisville,ACC,16,4
West Virginia,Big 12,15,3
Ole Miss,SEC,15,2
SMU,FBS - AAC,15,1
Syracuse,ACC,14,3
UCLA,Pac 12,12,2
Tennessee,SEC,9,2
Missouri,SEC,9,2
Baylor,Big 12,8,2
UTSA,FBS - CUSA,7,1
Arizona,Pac 12,7,1
Texas Tech,Big 12,7,1
Kansas,Big 12,6,1
Boise State,FBS - Mountain West,5,1
Nebraska,Big Ten,5,1
Virginia Tech,ACC,3,2
Nevada,FBS - Mountain West,3,2
South Florida,FBS - AAC,2,1
East Carolina,FBS - AAC,2,1
Memphis,FBS - AAC,2,1
Houston,FBS - AAC,2,1
Arkansas State,FBS - Sun Belt,2,1
UCF,FBS - AAC,2,1
Kansas State,Big 12,2,1
Duke,ACC,2,1
BYU,FBS - Independent,2,1
Central Michigan,FBS - MAC,2,1
California,Pac 12,2,1
Wyoming,FBS - Mountain West,1,1
Hawaii,FBS - Mountain West,1,1
Washington State,Pac 12,1,1
