School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,305,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Georgia,SEC,216,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Ohio State,Big Ten,207,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Clemson,ACC,157,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Notre Dame,FBS - Independent,123,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
LSU,SEC,122,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Oklahoma,Big 12,95,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
South Carolina,SEC,88,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Florida,SEC,85,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Texas A&M,SEC,79,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Miami (FL),ACC,77,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Texas,Big 12,75,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Oregon,Pac 12,68,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Washington,Pac 12,66,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
North Carolina,ACC,60,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Florida State,ACC,56,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Penn State,Big Ten,56,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Arkansas,SEC,55,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
USC,Pac 12,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Pitt,ACC,53,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
Kentucky,SEC,53,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Michigan,Big Ten,51,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Auburn,SEC,51,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
TCU,Big 12,48,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Tennessee,SEC,44,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Maryland,Big Ten,44,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Utah,Pac 12,43,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Stanford,Pac 12,43,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
