School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,221,13
Notre Dame,FBS - Independent,169,10
Ohio State,Big Ten,161,12
Clemson,ACC,155,11
Florida,SEC,145,9
Florida State,ACC,107,10
Georgia,SEC,105,11
LSU,SEC,90,7
Pitt,ACC,88,5
Oregon,Pac 12,77,6
Oklahoma,Big 12,76,10
Texas A&M,SEC,74,9
Penn State,Big Ten,71,5
Texas,Big 12,70,6
North Carolina,ACC,69,7
South Carolina,SEC,68,8
Arkansas,SEC,68,4
Iowa State,Big 12,64,8
Miami (FL),ACC,58,7
Auburn,SEC,52,7
Minnesota,Big Ten,50,5
TCU,Big 12,47,4
Maryland,Big Ten,43,4
Stanford,Pac 12,39,4
Washington,Pac 12,39,3
Coastal Carolina,FCS,38,3
Mississippi State,SEC,35,4
Boston College,ACC,35,2
Wisconsin,Big Ten,32,4
Arizona State,Pac 12,30,3
Rutgers,Big Ten,30,1
Troy,FBS - Sun Belt,29,3
NC State,ACC,28,4
Iowa,Big Ten,28,2
Louisiana Tech,FBS - CUSA,28,2
Wake Forest,ACC,27,3
Utah,Pac 12,27,3
Indiana,Big Ten,25,2
Northwestern,Big Ten,25,1
Kentucky,SEC,22,3
Michigan State,Big Ten,21,4
Georgia Tech,ACC,21,3
West Virginia,Big 12,20,3
Fresno State,FBS - Mountain West,20,2
SMU,FBS - AAC,20,1
Louisville,ACC,19,4
USC,Pac 12,19,3
Michigan,Big Ten,19,3
Ole Miss,SEC,15,2
Syracuse,ACC,14,3
Tennessee,SEC,10,2
Missouri,SEC,9,2
UTSA,FBS - CUSA,8,1
Arizona,Pac 12,8,1
Virginia Tech,ACC,7,2
Texas Tech,Big 12,7,1
Kansas,Big 12,7,1
Boise State,FBS - Mountain West,6,1
Nebraska,Big Ten,6,1
South Florida,FBS - AAC,5,1
East Carolina,FBS - AAC,5,1
Memphis,FBS - AAC,5,1
Houston,FBS - AAC,5,1
Arkansas State,FBS - Sun Belt,5,1
UCF,FBS - AAC,5,1
Kansas State,Big 12,5,1
Duke,ACC,5,1
Nevada,FBS - Mountain West,4,2
BYU,FBS - Independent,2,1
Baylor,Big 12,2,1
UCLA,Pac 12,2,1
Central Michigan,FBS - MAC,2,1
California,Pac 12,2,1
Wyoming,FBS - Mountain West,2,1
Hawaii,FBS - Mountain West,2,1
Washington State,Pac 12,2,1
