School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,229,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Georgia,SEC,203,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Ohio State,Big Ten,198,23,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Clemson,ACC,130,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Florida,SEC,125,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Notre Dame,FBS - Independent,97,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Tennessee,SEC,97,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Michigan,Big Ten,93,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
USC,Pac 12,82,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
TCU,Big 12,81,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Oregon,Pac 12,81,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Oklahoma,Big 12,72,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
LSU,SEC,72,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Auburn,SEC,67,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Texas A&M,SEC,62,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Texas,Big 12,61,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Florida State,ACC,56,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Penn State,Big Ten,54,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Utah,Pac 12,54,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
South Carolina,SEC,53,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Kentucky,SEC,53,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Maryland,Big Ten,51,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Iowa,Big Ten,51,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Ole Miss,SEC,49,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Northwestern,Big Ten,49,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northwestern.svg
Kansas State,Big 12,48,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Washington,Pac 12,46,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
