School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,313,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Georgia,SEC,206,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Ohio State,Big Ten,189,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Clemson,ACC,156,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
LSU,SEC,114,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Notre Dame,FBS - Independent,107,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Texas A&M,SEC,94,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Florida,SEC,92,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Oklahoma,Big 12,79,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Miami (FL),ACC,79,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
South Carolina,SEC,76,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Oregon,Pac 12,66,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Michigan,Big Ten,65,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
TCU,Big 12,65,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Auburn,SEC,61,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Maryland,Big Ten,60,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
USC,Pac 12,58,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Texas,Big 12,56,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Florida State,ACC,56,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Penn State,Big Ten,56,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Stanford,Pac 12,56,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
Kentucky,SEC,55,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
North Carolina,ACC,54,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
