School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,179,13
Ohio State,Big Ten,128,11
Clemson,ACC,117,9
Florida State,ACC,110,9
Florida,SEC,108,8
Pitt,ACC,95,5
Iowa State,Big 12,92,8
Maryland,Big Ten,88,5
Georgia,SEC,87,11
Arkansas,SEC,84,4
Minnesota,Big Ten,78,5
Texas,Big 12,77,6
LSU,SEC,71,7
Texas A&M,SEC,67,8
TCU,Big 12,67,5
Oregon,Pac 12,62,5
Auburn,SEC,61,5
Arizona State,Pac 12,61,3
Penn State,Big Ten,57,4
Oklahoma,Big 12,56,8
Stanford,Pac 12,55,4
Notre Dame,FBS - Independent,54,6
Miami (FL),ACC,50,6
South Carolina,SEC,50,5
Coastal Carolina,FCS,50,3
Northwestern,Big Ten,50,2
North Carolina,ACC,49,6
Wake Forest,ACC,45,3
Utah,Pac 12,45,2
Washington,Pac 12,42,2
USC,Pac 12,40,3
Kentucky,SEC,37,3
Syracuse,ACC,35,3
Mississippi State,SEC,35,3
Georgia Tech,ACC,32,3
Louisville,ACC,30,3
NC State,ACC,30,3
SMU,FBS - AAC,30,1
Rutgers,Big Ten,30,1
Wisconsin,Big Ten,28,3
Boston College,ACC,25,1
Michigan,Big Ten,21,3
Tennessee,SEC,20,2
Fresno State,FBS - Mountain West,20,1
Louisiana Tech,FBS - CUSA,18,2
Troy,FBS - Sun Belt,17,2
Nevada,FBS - Mountain West,15,2
UCLA,Pac 12,15,1
Missouri,SEC,13,2
West Virginia,Big 12,10,2
UTSA,FBS - CUSA,10,1
UTEP,FBS - CUSA,10,1
Iowa,Big Ten,8,1
Kansas,Big 12,7,1
Boise State,FBS - Mountain West,7,1
Nebraska,Big Ten,6,1
Ole Miss,SEC,6,1
South Florida,FBS - AAC,5,1
East Carolina,FBS - AAC,5,1
Memphis,FBS - AAC,5,1
Houston,FBS - AAC,5,1
Arkansas State,FBS - Sun Belt,5,1
UCF,FBS - AAC,5,1
Kansas State,Big 12,5,1
Virginia Tech,ACC,5,1
Duke,ACC,5,1
BYU,FBS - Independent,5,1
Baylor,Big 12,5,1
