Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Grayson McCall,Coastal Carolina,QB,2021-10-03,,,South Carolina,FCS,35
2,1,Jordan McFadden,Clemson,OT,2021-10-03,,,South Carolina,ACC,35
3,1,Tiawan Mullen,Indiana,CB,2021-10-03,,,Indiana,Big Ten,35
4,1,Garrett Williams,Syracuse,CB,2021-10-03,,,New York,ACC,35
5,1,Bryan Bresee,Clemson,DL,2021-10-03,,,South Carolina,ACC,35
6,2,D.J. Uiagalelei,Clemson,QB,2021-10-03,,,South Carolina,ACC,35
7,5,Malachi Moore,Alabama,S,2021-10-03,,,Alabama,SEC,35
8,2,Myles Murphy,Clemson,DL,2021-10-03,,,South Carolina,ACC,35
9,3,Bryce Young,Alabama,QB,2021-10-03,,,Alabama,SEC,35
10,1,Will Anderson Jr.,Alabama,EDGE,2021-10-03,,,Alabama,SEC,35
11,3,Nathan Pickering,Mississippi State,DL,2021-10-03,,,Mississippi,SEC,30
12,9,Jared Harrison-Hunte,Miami (FL),DL,2021-10-03,,,Florida,ACC,30
13,4,Wan'Dale Robinson,Nebraska,WR,2021-10-03,,,Nebraska,Big Ten,30
14,8,Michael Mayer,Notre Dame,TE,2021-10-03,,,Indiana,FBS - Independent,30
15,5,C.J. Stroud,Ohio State,QB,2021-10-03,,,Ohio,Big Ten,30
16,5,Harry Miller,Ohio State,IOL,2021-10-03,,,Ohio,Big Ten,30
17,1,Jadon Haselwood,Oklahoma,WR,2021-10-03,,,Oklahoma,Big 12,30
18,12,Jeff Sims,Georgia Tech,QB,2021-10-03,,,Georgia,ACC,30
19,13,Tony Grimes,North Carolina,CB,2021-10-03,,,North Carolina,ACC,30
20,7,Marvin Mims,Oklahoma,WR,2021-10-03,,,Oklahoma,Big 12,30
21,15,Lathan Ransom,Ohio State,CB,2021-10-03,,,Ohio,Big Ten,30
22,6,Paris Johnson Jr.,Ohio State,OT,2021-10-03,,,Ohio,Big Ten,30
23,13,Jahmyr Gibbs,Georgia Tech,RB,2021-10-03,,,Georgia,ACC,30
24,2,Joey Porter Jr.,Penn State,CB,2021-10-03,,,Pennsylvania,Big Ten,30
25,18,Jay Ward,LSU,CB,2021-10-03,,,Louisiana,SEC,30
26,8,Trenton Simpson,Clemson,LB,2021-10-03,,,South Carolina,ACC,25
27,21,Parker Washington,Penn State,WR,2021-10-03,,,Pennsylvania,Big Ten,25
28,22,Fred Davis II,Clemson,CB,2021-10-03,,,South Carolina,ACC,25
29,23,David Spaulding,South Carolina,CB,2021-10-03,,,South Carolina,SEC,25
30,16,Zach Evans,TCU,RB,2021-10-03,,,Texas,Big 12,25
31,15,Arik Gilbert,LSU,TE,2021-10-03,,,Louisiana,SEC,25
32,21,Kelee Ringo,Georgia,CB,2021-10-03,,,Georgia,SEC,25
33,2,Verone McKinley III,Oregon,S,2021-10-03,,,Oregon,Pac 12,25
34,26,Kendall Milton,Georgia,RB,2021-10-03,,,Georgia,SEC,25
35,6,Bijan Robinson,Texas,RB,2021-10-03,,,Texas,Big 12,25
36,4,Kayshon Boutte,LSU,WR,2021-10-03,,,Louisiana,SEC,20
37,7,Eli Ricks,LSU,CB,2021-10-03,,,Louisiana,SEC,20
38,13,Tank Bigsby,Auburn,RB,2021-10-03,,,Alabama,SEC,20
39,14,Peter Skoronski,Northwestern,IOL,2021-10-03,,,Illinois,Big Ten,20
40,16,Khari Coleman,TCU,EDGE,2021-10-03,,,Texas,Big 12,20
41,17,B.J. Ojulari,LSU,EDGE,2021-10-03,,,Louisiana,SEC,20
42,18,Jaylon Jones,Texas A&M,CB,2021-10-03,,,Texas,SEC,20
43,19,Robert Scott Jr.,Florida State,OT,2021-10-03,,,Florida,ACC,20
