Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Travis Hunter,Colorado,CB,2024-12-11,3,NEW ENGLAND PATRIOTS,Colorado,Big 12,35
2,2,Shedeur Sanders,Colorado,QB,2024-12-11,1,LAS VEGAS RAIDERS,Colorado,Big 12,35
3,2,Cameron Ward,Miami (FL),QB,2024-12-11,2,NEW YORK GIANTS,Florida,ACC,35
4,2,Mason Graham,Michigan,DL,2024-12-11,5,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
5,4,Tetairoa McMillan,Arizona,WR,2024-12-11,6,TENNESSEE TITANS,Arizona,Big 12,35
6,6,Abdul Carter,Penn State,EDGE,2024-12-11,4,CAROLINA PANTHERS,Pennsylvania,Big Ten,35
7,2,Will Johnson,Michigan,CB,2024-12-11,7,NEW YORK JETS,Michigan,Big Ten,35
8,2,Will Campbell,LSU,OT,2024-12-11,N/A,,Louisiana,SEC,35
9,2,Kelvin Banks,Texas,OT,2024-12-11,8,CLEVELAND BROWNS,Texas,SEC,35
10,6,Mykel Williams,Georgia,EDGE,2024-12-11,9,CHICAGO BEARS,Georgia,SEC,35
11,10,Ashton Jeanty,Boise State,RB,2024-12-11,11,CINCINNATI BENGALS,Idaho,FBS - Mountain West,30
12,1,James Pearce Jr.,Tennessee,EDGE,2024-12-11,10,NEW ORLEANS SAINTS,Tennessee,SEC,30
13,12,Malaki Starks,Georgia,S,2024-12-11,12,DALLAS COWBOYS,Georgia,SEC,30
14,4,Luther Burden,Missouri,WR,2024-12-11,16,ARIZONA CARDINALS,Missouri,SEC,30
15,12,Nic Scourton,Texas A&M,EDGE,2024-12-11,15,ATLANTA FALCONS,Texas,SEC,30
16,16,Jalon Walker,Georgia,LB,2024-12-11,23,SEATTLE SEAHAWKS,Georgia,SEC,30
17,8,Jalen Milroe,Alabama,QB,2024-12-11,N/A,,Alabama,SEC,30
18,17,Kenneth Grant,Michigan,DL,2024-12-11,13,MIAMI DOLPHINS,Michigan,Big Ten,30
19,19,Shavon Revel Jr.,East Carolina,CB,2024-12-11,18,LOS ANGELES RAMS,North Carolina,FBS - AAC,30
20,18,Colston Loveland,Michigan,TE,2024-12-11,N/A,,Michigan,Big Ten,30
21,12,Benjamin Morrison,Notre Dame,CB,2024-12-11,14,INDIANAPOLIS COLTS,Indiana,FBS - Independent,30
22,20,Emeka Egbuka,Ohio State,WR,2024-12-11,20,WASHINGTON COMMANDERS,Ohio,Big Ten,30
23,23,Tyler Warren,Penn State,TE,2024-12-11,22,DENVER BRONCOS,Pennsylvania,Big Ten,30
24,17,Aireontae Ersery,Minnesota,OT,2024-12-11,N/A,,Minnesota,Big Ten,30
25,24,Walter Nolen,Ole Miss,DL,2024-12-11,26,GREEN BAY PACKERS,Mississippi,SEC,30
26,26,Shemar Stewart,Texas A&M,DL,2024-12-11,19,TAMPA BAY BUCCANEERS,Texas,SEC,25
27,24,Cameron Williams,Texas,OT,2024-12-11,17,SAN FRANCISCO 49ERS,Texas,SEC,25
28,25,Josh Simmons,Ohio State,OT,2024-12-11,24,BALTIMORE RAVENS,Ohio,Big Ten,25
29,21,Isaiah Bond,Texas,WR,2024-12-11,27,PITTSBURGH STEELERS,Texas,SEC,25
30,30,Derrick Harmon,Oregon,DL,2024-12-11,N/A,,Oregon,Big Ten,25
31,25,Tyleik Williams,Ohio State,DL,2024-12-11,21,LOS ANGELES CHARGERS,Ohio,Big Ten,25
32,21,Jonah Savaiinaea,Arizona,IOL,2024-12-11,N/A,,Arizona,Big 12,25
33,14,Deone Walker,Kentucky,DL,2024-12-11,25,HOUSTON TEXANS,Kentucky,SEC,25
34,28,Tyler Booker,Alabama,IOL,2024-12-11,28,MINNESOTA VIKINGS,Alabama,SEC,25
35,35,Wyatt Milum,West Virginia,OT,2024-12-11,31,KANSAS CITY CHIEFS,West Virginia,Big 12,25
36,36,Landon Jackson,Arkansas,EDGE,2024-12-11,29,BUFFALO BILLS,Arkansas,SEC,20
37,29,Jack Sawyer,Ohio State,EDGE,2024-12-11,32,DETROIT LIONS,Ohio,Big Ten,20
38,37,Nick Emmanwori,South Carolina,S,2024-12-11,N/A,,South Carolina,SEC,20
39,24,J.T. Tuimoloau,Ohio State,EDGE,2024-12-11,30,PHILADELPHIA EAGLES,Ohio,Big Ten,20
40,8,Quinn Ewers,Texas,QB,2024-12-11,N/A,,Texas,SEC,20
41,41,Jihaad Campbell,Alabama,LB,2024-12-11,N/A,,Alabama,SEC,20
42,39,Tre Harris,Ole Miss,WR,2024-12-11,N/A,,Mississippi,SEC,20
43,30,Princely Umanmielen,Ole Miss,EDGE,2024-12-11,N/A,,Mississippi,SEC,20
44,40,Jahdae Barron,Texas,CB,2024-12-11,N/A,,Texas,SEC,20
45,45,Mike Green,Marshall,EDGE,2024-12-11,N/A,,West Virginia,FBS - CUSA,20
46,34,L.T. Overton,Alabama,EDGE,2024-12-11,N/A,,Alabama,SEC,20
47,43,Donovan Ezeiruaku,Boston College,EDGE,2024-12-11,N/A,,Massachusetts,ACC,20
49,49,Marcus Mbow,Purdue,OT,2024-12-11,N/A,,Indiana,Big Ten,20
50,48,Trey Amos,Ole Miss,CB,2024-12-11,N/A,,Mississippi,SEC,20
51,22,Omarion Hampton,North Carolina,RB,2024-12-11,N/A,,North Carolina,ACC,20
52,39,Donovan Jackson,Ohio State,IOL,2024-12-11,N/A,,Ohio,Big Ten,20
53,41,Josh Conerly Jr.,Oregon,OT,2024-12-11,N/A,,Oregon,Big Ten,20
54,14,Emery Jones Jr.,LSU,OT,2024-12-11,N/A,,Louisiana,SEC,20
55,39,Drew Allar,Penn State,QB,2024-12-11,N/A,,Pennsylvania,Big Ten,20
56,52,T.J. Sanders,South Carolina,DL,2024-12-11,N/A,,South Carolina,SEC,20
57,1,Carson Beck,Georgia,QB,2024-12-11,N/A,,Georgia,SEC,20
58,56,Xavier Watts,Notre Dame,S,2024-12-11,N/A,,Indiana,FBS - Independent,20
59,40,Maxwell Hairston,Kentucky,CB,2024-12-11,N/A,,Kentucky,SEC,20
60,54,Kaleb Johnson,Iowa,RB,2024-12-11,N/A,,Iowa,Big Ten,15
61,29,Quinshon Judkins,Ohio State,RB,2024-12-11,N/A,,Ohio,Big Ten,15
62,58,Darien Porter,Iowa State,CB,2024-12-11,N/A,,Iowa,Big 12,15
63,44,Elic Ayomanor,Stanford,WR,2024-12-11,N/A,,California,ACC,15
64,57,Grey Zabel,North Dakota State,OT,2024-12-11,N/A,,North Dakota,FCS,15
65,21,Denzel Burke,Ohio State,CB,2024-12-11,,,Ohio,Big Ten,15
66,60,Azareye'h Thomas,Florida State,CB,2024-12-11,,,Florida,ACC,15
67,19,Harold Perkins,LSU,LB,2024-12-11,,,Louisiana,SEC,15
68,59,Armand Membou,Missouri,IOL,2024-12-11,,,Missouri,SEC,15
69,69,Omarr Norman-Lott,Tennessee,DL,2024-12-11,,,Tennessee,SEC,15
71,60,Xavier Restrepo,Miami (FL),WR,2024-12-11,,,Florida,ACC,10
72,53,Harold Fannin Jr.,Bowling Green,TE,2024-12-11,,,Ohio,FBS - MAC,10
73,73,Shemar Turner,Texas A&M,DL,2024-12-11,,,Texas,SEC,10
74,61,Kyle Kennard,South Carolina,EDGE,2024-12-11,,,South Carolina,SEC,10
75,46,Tate Ratledge,Georgia,IOL,2024-12-11,,,Georgia,SEC,10
76,57,Jalen Royals,Utah State,WR,2024-12-11,,,Utah,FBS - Mountain West,10
77,28,Evan Stewart,Oregon,WR,2024-12-11,,,Oregon,Big Ten,10
78,39,Danny Stutsman,Oklahoma,LB,2024-12-11,,,Oklahoma,SEC,10
80,73,Alfred Collins,Texas,DL,2024-12-11,,,Texas,SEC,10
81,49,Ashton Gillotte,Louisville,EDGE,2024-12-11,,,Kentucky,ACC,10
82,35,Kevin Winston Jr.,Penn State,S,2024-12-11,,,Pennsylvania,Big Ten,10
83,72,Bradyn Swinson,LSU,EDGE,2024-12-11,,,Louisiana,SEC,10
84,76,Jared Ivey,Ole Miss,EDGE,2024-12-11,,,Mississippi,SEC,10
85,85,Jordan Burch,Oregon,DL,2024-12-11,,,Oregon,Big Ten,10
86,43,Barrett Carter,Clemson,LB,2024-12-11,,,South Carolina,ACC,10
87,73,Gunnar Helm,Texas,TE,2024-12-11,,,Texas,SEC,10
88,68,TreVeyon Henderson,Ohio State,RB,2024-12-11,,,Ohio,Big Ten,10
89,49,Kyren Lacy,LSU,WR,2024-12-11,,,Louisiana,SEC,10
90,35,Ollie Gordon II,Oklahoma State,RB,2024-12-11,,,Oklahoma,Big 12,10
91,30,Patrick Payton,Florida State,EDGE,2024-12-11,,,Florida,ACC,10
92,57,Tez Johnson,Oregon,WR,2024-12-11,,,Oregon,Big Ten,10
93,77,Deontae Lawson,Alabama,LB,2024-12-11,,,Alabama,SEC,10
94,77,Zy Alexander,LSU,CB,2024-12-11,,,Louisiana,SEC,10
95,75,Mason Taylor,LSU,TE,2024-12-11,,,Louisiana,SEC,10
96,73,Kamari Ramsey,USC,S,2024-12-11,,,California,Big Ten,10
97,76,Nick Singleton,Penn State,RB,2024-12-11,,,Pennsylvania,Big Ten,10
98,70,Earnest Greene,Georgia,OT,2024-12-11,,,Georgia,SEC,10
99,52,Sebastian Castro,Iowa,S,2024-12-11,,,Iowa,Big Ten,10
100,50,Tory Horton,Colorado State,WR,2024-12-11,,,Colorado,FBS - Mountain West,10
101,67,Will Lee III,Texas A&M,CB,2024-12-11,,,Texas,SEC,8
102,56,DeMonte Capehart,Clemson,DL,2024-12-11,,,South Carolina,ACC,8
103,89,Ajani Cornelius,Oregon,OT,2024-12-11,,,Oregon,Big Ten,8
104,99,Charles Grant,William & Mary,IOL,2024-12-11,,,Virginia,FCS,8
105,100,Jermari Harris,Iowa,CB,2024-12-11,,,Iowa,Big Ten,8
106,74,Andrew Mukuba,Texas,S,2024-12-11,,,Texas,SEC,8
107,73,Daylen Everette,Georgia,CB,2024-12-11,,,Georgia,SEC,8
108,81,Josaiah Stewart,Michigan,EDGE,2024-12-11,,,Michigan,Big Ten,8
109,66,Deion Burks,Oklahoma,WR,2024-12-11,,,Oklahoma,SEC,8
110,100,Kaden Prather,Maryland,WR,2024-12-11,,,Maryland,Big Ten,8
111,108,Dylan Sampson,Tennessee,RB,2024-12-11,,,Tennessee,SEC,8
112,85,Mikail Kamara,Indiana,EDGE,2024-12-11,,,Indiana,Big Ten,8
113,82,Anthony Belton,NC State,OT,2024-12-11,,,North Carolina,ACC,8
114,64,Davison Igbinosun,Ohio State,CB,2024-12-11,,,Ohio,Big Ten,8
115,59,Dani Dennis-Sutton,Penn State,EDGE,2024-12-11,,,Pennsylvania,Big Ten,8
116,43,Parker Brailsford,Alabama,IOL,2024-12-11,,,Alabama,SEC,8
117,52,Lander Barton,Utah,LB,2024-12-11,,,Utah,Big 12,8
118,115,Jeffrey Bassa,Oregon,LB,2024-12-11,,,Oregon,Big Ten,8
119,52,Blake Miller,Clemson,OT,2024-12-11,,,South Carolina,ACC,8
120,107,Chris Paul Jr.,Ole Miss,LB,2024-12-11,,,Mississippi,SEC,8
121,49,Jabbar Muhammad,Oregon,CB,2024-12-11,,,Oregon,Big Ten,7
122,100,Malachi Moore,Alabama,S,2024-12-11,,,Alabama,SEC,7
123,78,Jayden Higgins,Iowa State,WR,2024-12-11,,,Iowa,Big 12,7
124,101,Dorian Strong,Virginia Tech,CB,2024-12-11,,,Virginia,ACC,7
125,88,Billy Bowman,Oklahoma,S,2024-12-11,,,Oklahoma,SEC,7
126,55,Tai Felton,Maryland,WR,2024-12-11,,,Maryland,Big Ten,7
127,63,Cobee Bryant,Kansas,CB,2024-12-11,,,Kansas,Big 12,7
128,105,Darrell Jackson Jr.,Florida State,DL,2024-12-11,,,Florida,ACC,7
129,77,Howard Cross III,Notre Dame,DL,2024-12-11,,,Indiana,FBS - Independent,7
130,72,Rod Moore,Michigan,S,2024-12-11,,,Michigan,Big Ten,7
131,79,Kobe Hudson,UCF,WR,2024-12-11,,,Florida,Big 12,7
132,118,Lathan Ransom,Ohio State,S,2024-12-11,,,Ohio,Big Ten,7
133,34,Jaxson Dart,Ole Miss,QB,2024-12-11,,,Mississippi,SEC,7
134,58,Antwane Wells Jr.,Ole Miss,WR,2024-12-11,,,Mississippi,SEC,7
135,115,Jack Velling,Michigan State,TE,2024-12-11,,,Michigan,Big Ten,7
136,48,Kyle Monangai,Rutgers,RB,2024-12-11,,,New Jersey,Big Ten,7
137,122,Savion Williams,TCU,WR,2024-12-11,,,Texas,Big 12,7
138,104,Smael Mondon Jr.,Georgia,LB,2024-12-11,,,Georgia,SEC,7
139,128,Eli Stowers,Vanderbilt,TE,2024-12-11,,,Tennessee,SEC,7
140,82,Domani Jackson,Alabama,CB,2024-12-11,,,Alabama,SEC,7
141,130,Mello Dotson,Kansas,CB,2024-12-11,,,Kansas,Big 12,7
142,65,Nazir Stackhouse,Georgia,DL,2024-12-11,,,Georgia,SEC,7
143,108,Dillon Gabriel,Oregon,QB,2024-12-11,,,Oregon,Big Ten,7
144,129,Bhayshul Tuten,Virginia Tech,RB,2024-12-11,,,Virginia,ACC,7
145,126,Jake Briningstool,Clemson,TE,2024-12-11,,,South Carolina,ACC,7
146,114,Raheim Sanders,South Carolina,RB,2024-12-11,,,South Carolina,SEC,7
147,90,Jaeden Roberts,Alabama,IOL,2024-12-11,,,Alabama,SEC,7
148,135,Simeon Barrow Jr.,Miami (FL),DL,2024-12-11,,,Florida,ACC,7
149,134,Jack Bech,TCU,WR,2024-12-11,,,Texas,Big 12,7
150,136,Que Robinson,Alabama,EDGE,2024-12-11,,,Alabama,SEC,7
151,66,Fernando Carmona,Arkansas,OT,2024-12-11,,,Arkansas,SEC,6
152,114,Tonka Hemingway,South Carolina,DL,2024-12-11,,,South Carolina,SEC,6
153,106,Jonas Sanker,Virginia,S,2024-12-11,,,Virginia,ACC,6
154,112,Jamaree Caldwell,Oregon,DL,2024-12-11,,,Oregon,Big Ten,6
155,125,Jay Higgins,Iowa,LB,2024-12-11,,,Iowa,Big Ten,6
156,51,Tyler Baron,Miami (FL),EDGE,2024-12-11,,,Florida,ACC,6
157,75,Jared Wilson,Georgia,IOL,2024-12-11,,,Georgia,SEC,6
158,115,Phil Mafah,Clemson,RB,2024-12-11,,,South Carolina,ACC,6
159,79,Jaishawn Barham,Michigan,LB,2024-12-11,,,Michigan,Big Ten,6
160,119,Jamon Dumas-Johnson,Kentucky,LB,2024-12-11,,,Kentucky,SEC,6
161,130,Jacob Parrish,Kansas State,CB,2024-12-11,,,Kansas,Big 12,6
162,151,Jo'Quavious Marks,USC,RB,2024-12-11,,,California,Big Ten,6
163,71,Terrance Ferguson,Oregon,TE,2024-12-11,,,Oregon,Big Ten,6
164,66,Antwaun Powell-Ryland,Virginia Tech,EDGE,2024-12-11,,,Virginia,ACC,6
165,96,Keon Sabb,Alabama,S,2024-12-11,,,Alabama,SEC,6
166,97,Kurtis Rourke,Indiana,QB,2024-12-11,,,Indiana,Big Ten,6
167,131,Joshua Farmer,Florida State,DL,2024-12-11,,,Florida,ACC,6
168,121,Fadil Diggs,Syracuse,EDGE,2024-12-11,,,New York,ACC,6
169,110,Kalel Mullings,Michigan,RB,2024-12-11,,,Michigan,Big Ten,6
170,151,Jordan James,Oregon,RB,2024-12-11,,,Oregon,Big Ten,6
171,77,Gabe Jacas,Illinois,EDGE,2024-12-11,,,Illinois,Big Ten,6
172,74,Oronde Gadsden II,Syracuse,TE,2024-12-11,,,New York,ACC,6
173,121,Tommi Hill,Nebraska,CB,2024-12-11,,,Nebraska,Big Ten,6
174,122,R.J. Harvey Jr.,UCF,RB,2024-12-11,,,Florida,Big 12,6
175,131,Ar'maj Reed-Adams,Texas A&M,IOL,2024-12-11,,,Texas,SEC,6
176,171,Corey Kiner,Cincinnati,RB,2024-12-11,,,Ohio,Big 12,6
177,139,D.J. Giddens,Kansas State,RB,2024-12-11,,,Kansas,Big 12,6
178,55,Quincy Riley,Louisville,CB,2024-12-11,,,Kentucky,ACC,6
179,83,David Bailey,Stanford,EDGE,2024-12-11,,,California,ACC,6
180,79,Riley Leonard,Notre Dame,QB,2024-12-11,,,Indiana,FBS - Independent,6
181,102,Aeneas Peebles,Virginia Tech,DL,2024-12-11,,,Virginia,ACC,5
182,133,Ty Hamilton,Ohio State,DL,2024-12-11,,,Ohio,Big Ten,5
183,167,Brandon Crenshaw-Dickson,Florida,OT,2024-12-11,,,Florida,SEC,5
184,66,Oscar Delp,Georgia,TE,2024-12-11,,,Georgia,SEC,5
185,67,Jonah Monheim,USC,IOL,2024-12-11,,,California,Big Ten,5
186,173,Upton Stout,Western Kentucky,CB,2024-12-11,,,Kentucky,FBS - CUSA,5
187,53,Luke Lachey,Iowa,TE,2024-12-11,,,Iowa,Big Ten,5
188,96,Jason Marshall Jr.,Florida,CB,2024-12-11,,,Florida,SEC,5
189,97,Mitchell Evans,Notre Dame,TE,2024-12-11,,,Indiana,FBS - Independent,5
190,174,Justin Walley,Minnesota,CB,2024-12-11,,,Minnesota,Big Ten,5
191,137,Connor Colby,Iowa,IOL,2024-12-11,,,Iowa,Big Ten,5
192,111,Dante Trader Jr.,Maryland,S,2024-12-11,,,Maryland,Big Ten,5
193,140,Matthew Golden,Texas,WR,2024-12-11,,,Texas,SEC,5
194,189,Demetrius Knight,South Carolina,LB,2024-12-11,,,South Carolina,SEC,5
195,187,Le'Veon Moss,Texas A&M,RB,2024-12-11,,,Texas,SEC,5
196,82,Luke Kandra,Cincinnati,IOL,2024-12-11,,,Ohio,Big 12,5
197,150,Ty Robinson,Nebraska,DL,2024-12-11,,,Nebraska,Big Ten,5
198,122,Kaimon Rucker,North Carolina,EDGE,2024-12-11,,,North Carolina,ACC,5
199,74,David Walker,Central Arkansas,EDGE,2024-12-11,,,Arkansas,FCS,5
200,167,John Michael Gyllenborg,Wyoming,TE,2024-12-11,,,Wyoming,FBS - Mountain West,5
201,148,Tahj Brooks,Texas Tech,RB,2024-12-11,,,Texas,Big 12,5
202,76,Theo Wease,Missouri,WR,2024-12-11,,,Missouri,SEC,5
203,150,Chase Lundt,UConn,OT,2024-12-11,,,Connecticut,FBS - AAC,5
204,169,Garrett Dellinger,LSU,IOL,2024-12-11,,,Louisiana,SEC,5
205,115,Pat Bryant,Illinois,WR,2024-12-11,,,Illinois,Big Ten,5
206,93,Devin Neal,Kansas,RB,2024-12-11,,,Kansas,Big 12,5
207,44,Ricky White,UNLV,WR,2024-12-11,,,Nevada,FBS - Mountain West,5
208,190,R Mason Thomas,Oklahoma,EDGE,2024-12-11,,,Oklahoma,SEC,5
209,191,Elijah Arroyo,Miami (FL),TE,2024-12-11,,,Florida,ACC,5
210,112,Jalen Catalon,UNLV,S,2024-12-11,,,Nevada,FBS - Mountain West,5
