Rank,Player Name,Position,College
1,DJ Lagway,QB,Florida
2,Arch Manning,QB,Texas
3,Dylan Raiola,QB,Nebraska
4,Ryan Williams,WR,Alabama
5,Anthonie Knapp,OT,Michigan State
6,Jordan Ross,DL,Tennessee
7,Dylan Stewart,EDGE,South Carolina
8,Julian Sayin,QB,Ohio State
9,Leonard Moore,CB,Notre Dame
10,OJ Frederique Jr.,CB,Miami (FL)
11,Koi Perich,S,Minnesota
12,Jayden Jackson,DL,Oklahoma State
13,Justin Scott,DL,Miami (FL)
14,KJ Bolden,S,Georgia
15,TJ Moore,WR,Clemson
16,Sammy Brown,LB,Clemson
17,Colin Simmons,EDGE,Texas
18,Maraad Watson,DL,Texas
19,Nate Frazier,RB,Georgia
20,Ashton Hampton,CB,Clemson
21,Eli Bowen,CB,Oklahoma
22,Elijah Rushing,EDGE,Oregon
23,Nick Marsh,WR,Michigan State
24,Ellis Robinson IV,CB,Georgia
25,Noah Carter,EDGE,Alabama
26,Isaac Brown,RB,Louisville
27,Boo Carter,CB,Tennessee
28,Jeremiah Smith,WR,Ohio State
29,Jordan Seaton,OT,Colorado
30,Josiah Thompson,OT,South Carolina
31,Cam Coleman,WR,Auburn
32,Bryant Wesco,WR,Clemson
33,Aidan Banfield,IOL,North Carolina
34,LJ McCray,EDGE,Florida
35,Decker Degraaf,TE,Washington
36,Jaylen Mbakwe,WR,Alabama
37,Luke Kromenhoek,QB,Florida State
38,Jay Crawford,CB,Auburn
39,Francis Brewu,DL,Pittsburgh
40,Brandon Baker,OT,Texas
41,Aaron Scott Jr.,CB,Ohio State
42,Jason Zandamela,IOL,Florida
43,David Stone,DL,Oklahoma
44,Chris Cole,LB,Georgia
45,Zavier Mincey,S,Alabama
46,Williams Nwaneri,DL,Nebraska
47,Dashawn Spears,S,LSU
48,Kevin Heywood,OT,Wisconsin
49,Luke Reynolds,TE,Penn State
50,Kobe Black,CB,Texas
51,Ryan Wingo,WR,Texas
52,Dante Moore,QB,Oregon
53,Dwight Phillips Jr.,RB,Georgia
54,Amaree Williams,TE,Florida State
55,Air Noland,QB,South Carolina
56,Amaris Williams,EDGE,Auburn
57,Armondo Blount,DL,Miami (FL)
58,Andrew Sprague,OT,Michigan
59,Antonio White Jr.,S,Rutgers
60,Bennett Warren,OT,Tennessee
61,Ashton Bethel-Roman,WR,Texas A&M
62,Booker Pickett Jr.,EDGE,Miami (FL)
63,Blake Ivy,OT,Texas A&M
64,Brauntae Johnson,S,Notre Dame
65,Brady Prieskorn,TE,Michigan
66,Bryce Cain,WR,Auburn
67,Bryce West,CB,Ohio State
68,Braylon Staley,WR,Tennessee
69,Caleb Odom,TE,Alabama
70,CJ Carr,QB,Notre Dame
71,Cai Bates,CB,Florida State
72,Carter Nelson,TE,Nebraska
73,Casey Poe,IOL,Alabama
