State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,361,4,42
Texas,314,10,61
South Carolina,226,3,39
Florida,212,7,44
Georgia,212,2,23
Ohio,187,3,26
California,146,7,34
Indiana,128,3,19
North Carolina,111,6,27
Louisiana,107,4,23
Oklahoma,103,3,28
Pennsylvania,103,2,21
Michigan,95,4,30
Utah,88,3,14
Oregon,86,2,15
Iowa,77,2,16
Mississippi,75,4,20
Maryland,69,1,8
Kentucky,68,2,19
Illinois,65,3,6
Kansas,64,3,6
Tennessee,56,4,11
New York,55,2,5
Arkansas,53,2,10
Washington,39,2,9
Wisconsin,26,1,9
Virginia,25,5,11
Massachusetts,23,2,6
Arizona,22,2,8
Idaho,21,1,2
Missouri,20,2,5
Minnesota,19,1,5
Nebraska,17,1,6
South Dakota,15,1,2
West Virginia,14,2,8
New Jersey,8,2,3
Wyoming,5,1,1
North Dakota,3,1,2
Nevada,2,1,2
Montana,2,1,1
Colorado,1,1,1
