State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,371,4,40
Texas,299,10,62
South Carolina,239,3,37
Florida,232,7,41
Georgia,220,2,22
Ohio,191,3,26
California,150,7,34
Louisiana,125,4,21
Indiana,117,3,17
North Carolina,110,6,25
Pennsylvania,106,2,20
Michigan,99,4,27
Utah,90,3,14
Kentucky,80,2,19
Oregon,73,2,13
Iowa,72,2,15
Oklahoma,69,3,24
Mississippi,69,4,20
Kansas,65,3,6
Maryland,60,1,8
Washington,55,2,9
New York,53,2,5
Illinois,45,3,6
Tennessee,41,4,9
Arkansas,38,2,9
Virginia,34,5,11
Missouri,24,2,5
West Virginia,22,2,8
Idaho,21,1,2
Massachusetts,20,1,5
Wisconsin,19,1,8
Arizona,18,2,8
Minnesota,17,1,5
New Jersey,14,2,3
South Dakota,13,1,2
Nebraska,10,1,4
North Dakota,6,1,2
Nevada,2,1,2
Colorado,1,1,1
