State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,326,12,46
Alabama,294,6,31
Ohio,196,4,22
Georgia,192,2,15
South Carolina,172,3,16
California,171,7,27
Florida,170,8,27
Louisiana,121,4,23
Indiana,115,4,17
Illinois,104,3,10
Pennsylvania,101,2,19
Iowa,100,3,14
Oregon,94,2,11
Utah,87,3,9
Tennessee,85,4,10
Michigan,84,5,19
Kentucky,80,3,16
Oklahoma,72,4,17
North Carolina,67,6,17
Kansas,62,3,8
Mississippi,60,4,17
Maryland,54,2,10
New York,43,4,7
Arkansas,38,2,8
Virginia,35,6,10
Minnesota,30,2,4
Washington,29,2,4
North Dakota,26,1,3
Massachusetts,23,1,4
Wisconsin,22,1,5
Idaho,22,1,3
Nebraska,21,1,6
New Jersey,17,2,5
South Dakota,15,1,2
West Virginia,14,3,8
Missouri,12,2,4
Arizona,8,1,3
Colorado,2,2,2
Montana,1,1,1
Connecticut,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
