State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,366,4,40
Texas,311,10,62
South Carolina,241,3,37
Florida,220,7,41
Georgia,219,2,22
Ohio,193,3,26
California,152,7,34
Louisiana,119,4,21
Indiana,118,3,17
Pennsylvania,114,2,20
North Carolina,101,6,25
Utah,95,3,14
Michigan,94,4,27
Kentucky,81,2,19
Oregon,80,2,13
Oklahoma,76,3,24
Iowa,67,2,15
Mississippi,64,4,20
Maryland,61,1,8
Kansas,60,3,6
New York,53,2,5
Washington,46,2,9
Illinois,45,3,6
Arkansas,44,2,9
Tennessee,39,4,9
Virginia,35,5,11
Idaho,26,1,2
Wisconsin,24,1,9
Missouri,24,2,5
West Virginia,23,2,8
Minnesota,19,1,5
Massachusetts,19,1,5
Arizona,17,2,8
South Dakota,15,1,2
New Jersey,11,2,3
Nebraska,10,1,4
North Dakota,6,1,2
Nevada,2,1,2
Colorado,1,1,1
