State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,373,4,38
Texas,279,10,56
South Carolina,252,3,36
Florida,240,7,40
Georgia,205,2,22
Ohio,201,3,25
California,150,7,32
Louisiana,142,4,19
Indiana,141,3,17
Michigan,93,2,23
Pennsylvania,91,2,16
Oklahoma,88,3,22
North Carolina,86,6,22
Utah,85,3,14
Kentucky,75,2,16
Iowa,71,2,15
Oregon,70,2,11
Kansas,62,3,5
Mississippi,61,4,20
Arkansas,57,2,9
Washington,52,2,9
Maryland,50,1,6
Illinois,41,3,6
New York,38,2,4
Tennessee,29,2,7
Massachusetts,29,1,5
Virginia,25,4,10
Wisconsin,24,1,8
Arizona,23,2,8
Missouri,22,1,3
West Virginia,16,2,7
Idaho,16,1,2
Minnesota,13,1,5
Nebraska,12,1,4
North Dakota,12,1,2
South Dakota,10,1,2
New Jersey,8,1,2
Nevada,3,1,2
Colorado,1,1,1
