State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,304,14,47
Alabama,262,6,30
Georgia,204,2,16
Ohio,202,5,25
California,173,8,35
Florida,150,7,25
South Carolina,141,4,19
Illinois,137,4,13
Pennsylvania,121,2,19
Iowa,119,3,14
Michigan,110,6,24
Tennessee,106,5,14
Indiana,102,4,17
Louisiana,94,4,24
Oregon,92,3,14
North Carolina,86,9,25
Utah,85,3,11
Kentucky,83,3,18
Oklahoma,81,4,17
Mississippi,69,4,20
Maryland,67,1,9
Kansas,65,3,9
Wisconsin,44,1,6
New York,39,6,11
Virginia,38,7,11
Arkansas,38,2,8
Minnesota,36,2,6
Washington,28,2,5
Massachusetts,28,2,4
North Dakota,26,1,3
West Virginia,20,3,8
New Jersey,15,2,6
South Dakota,15,1,1
Idaho,13,1,4
Missouri,12,2,5
Nebraska,12,1,4
Arizona,9,3,5
Colorado,2,2,2
Montana,2,1,1
New Mexico,1,1,1
Nevada,1,1,1
