State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,381,4,39
Texas,287,10,60
South Carolina,246,3,36
Florida,233,7,40
Ohio,198,3,26
Georgia,198,2,22
California,146,7,33
Louisiana,132,4,20
Indiana,127,3,17
North Carolina,104,6,22
Pennsylvania,101,2,17
Michigan,99,3,25
Kentucky,88,2,19
Utah,83,3,14
Oklahoma,82,3,22
Iowa,72,2,15
Washington,68,2,9
Oregon,66,2,12
Mississippi,64,4,20
Maryland,64,1,7
Kansas,58,3,6
Arkansas,57,2,9
New York,44,2,5
Illinois,42,3,6
Tennessee,30,2,7
Virginia,26,4,10
Massachusetts,24,1,5
Arizona,22,2,8
Wisconsin,21,1,8
Idaho,21,1,2
Minnesota,16,1,5
West Virginia,15,2,7
Missouri,12,1,3
New Jersey,11,1,2
South Dakota,10,1,2
North Dakota,7,1,2
Nebraska,6,1,4
Nevada,2,1,2
Colorado,1,1,1
