State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,351,4,38
South Carolina,282,3,36
Texas,265,10,55
Florida,227,7,40
Georgia,203,2,22
Ohio,200,3,25
Louisiana,145,4,19
Indiana,129,3,17
California,125,7,31
Michigan,108,2,23
North Carolina,101,6,22
Pennsylvania,99,2,16
Oklahoma,93,3,21
Oregon,84,2,11
Iowa,76,2,15
Utah,74,3,13
Kentucky,72,2,15
Washington,71,2,9
Arkansas,57,2,9
Mississippi,56,4,20
Maryland,52,1,5
Kansas,52,3,5
Illinois,50,3,6
Tennessee,36,2,7
New York,34,2,4
Virginia,25,4,10
Massachusetts,25,1,5
Arizona,24,2,8
Wisconsin,23,1,7
West Virginia,16,2,6
North Dakota,15,1,2
Minnesota,13,1,5
Nebraska,12,1,4
Missouri,12,1,3
South Dakota,10,1,2
New Jersey,9,1,2
Idaho,8,1,2
Nevada,3,1,2
Colorado,1,1,1
