State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,325,5,30
Alabama,313,3,23
Texas,258,8,29
South Carolina,247,3,23
Indiana,188,2,12
Pennsylvania,171,2,12
North Carolina,156,5,18
Ohio,154,1,12
Georgia,131,2,15
Iowa,130,2,13
Louisiana,108,2,10
California,83,5,13
Oklahoma,80,1,12
Arkansas,77,2,6
Oregon,72,1,6
Kentucky,58,2,9
Minnesota,45,1,5
Mississippi,42,2,6
Maryland,40,1,4
Michigan,39,3,8
Washington,39,2,4
Massachusetts,37,1,3
Arizona,32,2,4
Utah,27,2,4
Wisconsin,26,1,4
New Jersey,25,1,1
Illinois,25,1,1
West Virginia,15,1,3
New York,14,1,3
Tennessee,11,2,3
Missouri,9,1,2
Kansas,8,2,2
Idaho,5,1,1
Nebraska,5,1,1
Virginia,3,1,2
Nevada,3,1,2
Wyoming,1,1,1
Hawaii,1,1,1
