State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,355,4,42
Texas,323,10,62
South Carolina,229,3,39
Florida,209,7,44
Georgia,209,2,23
Ohio,187,3,26
California,152,7,35
Indiana,123,3,18
North Carolina,120,6,26
Louisiana,113,4,23
Pennsylvania,110,2,21
Oklahoma,97,3,27
Michigan,87,4,29
Utah,82,3,14
Oregon,81,2,14
Mississippi,80,4,20
Iowa,77,2,17
Kentucky,68,2,19
Tennessee,65,4,11
Maryland,64,1,8
Kansas,64,3,6
Illinois,60,3,6
New York,52,2,5
Arkansas,51,2,10
Washington,40,2,9
Wisconsin,27,1,9
Virginia,25,5,11
Arizona,25,2,8
Idaho,21,1,2
Minnesota,20,1,5
Missouri,20,2,5
Massachusetts,18,1,5
West Virginia,17,2,8
South Dakota,15,1,2
Nebraska,12,1,5
New Jersey,8,2,3
Wyoming,5,1,1
North Dakota,3,1,2
Nevada,2,1,2
Montana,2,1,1
Colorado,1,1,1
