State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,347,10,72
Alabama,306,6,48
Florida,216,8,50
South Carolina,215,3,43
Ohio,209,4,31
Georgia,208,3,24
California,164,8,41
Indiana,126,3,21
Michigan,121,5,36
Louisiana,116,4,25
Pennsylvania,105,2,24
Oregon,101,2,17
North Carolina,100,7,32
Tennessee,96,4,16
Illinois,93,3,10
Utah,87,3,16
Kansas,77,3,9
Oklahoma,75,4,29
Mississippi,72,4,27
Iowa,72,2,18
Washington,65,2,15
Kentucky,64,3,23
Arkansas,52,3,13
New York,46,3,8
Maryland,43,2,11
Minnesota,36,1,7
Missouri,35,2,8
Virginia,31,6,15
Wisconsin,23,1,9
Arizona,23,2,8
North Dakota,22,1,3
West Virginia,17,3,11
Massachusetts,16,2,7
Idaho,16,1,2
Nebraska,15,1,6
New Jersey,13,2,5
South Dakota,9,1,2
Connecticut,7,1,2
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
