State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,297,13,46
Alabama,266,6,28
Georgia,204,2,16
Ohio,190,4,24
California,172,8,34
Florida,163,7,24
South Carolina,159,4,18
Pennsylvania,120,2,18
Illinois,118,3,10
Michigan,115,6,22
Iowa,114,3,14
Louisiana,113,4,24
Tennessee,101,5,14
Indiana,97,4,17
Oregon,97,2,13
Utah,85,3,11
North Carolina,81,9,25
Kentucky,81,3,18
Oklahoma,77,4,17
Mississippi,75,4,19
Maryland,63,1,9
Kansas,60,3,8
Arkansas,41,2,8
Wisconsin,41,1,6
New York,37,6,11
Virginia,35,7,11
Minnesota,33,2,6
Washington,28,2,5
Massachusetts,27,1,3
North Dakota,26,1,3
West Virginia,19,3,8
Idaho,18,1,4
Nebraska,13,1,3
Missouri,11,2,5
New Jersey,11,2,5
Arizona,10,3,5
South Dakota,10,1,1
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
