State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,303,13,47
Alabama,277,6,31
Georgia,205,2,16
Ohio,186,4,24
Florida,176,8,28
South Carolina,169,4,18
California,156,8,32
Pennsylvania,125,2,19
Louisiana,114,4,24
Illinois,113,3,9
Oregon,104,2,13
Michigan,103,6,22
Indiana,103,4,17
Iowa,102,3,14
Kentucky,88,3,19
Tennessee,88,4,12
Utah,85,3,10
North Carolina,80,7,22
Oklahoma,78,4,18
Mississippi,68,4,19
Kansas,61,3,8
Maryland,57,1,9
New York,42,5,9
Arkansas,42,2,8
Wisconsin,41,1,6
Virginia,36,7,11
Minnesota,29,2,5
Massachusetts,29,1,4
North Dakota,27,1,3
West Virginia,22,3,9
Washington,22,2,4
Nebraska,16,1,6
Idaho,15,1,4
South Dakota,15,1,1
New Jersey,14,2,5
Missouri,10,2,4
Arizona,8,2,4
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
