State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,409,4,34
South Carolina,266,3,34
Texas,243,9,45
Florida,231,6,37
Georgia,199,2,21
Ohio,196,2,24
Pennsylvania,152,3,15
Indiana,147,3,17
Louisiana,133,4,19
California,101,7,27
North Carolina,91,5,19
Mississippi,81,3,17
Oklahoma,77,3,20
Oregon,77,2,10
Iowa,76,2,14
Kentucky,75,2,13
Michigan,70,2,17
Washington,65,3,9
Utah,62,3,11
Maryland,58,1,5
Arkansas,53,2,8
Massachusetts,40,1,4
West Virginia,36,2,6
Virginia,33,3,10
Kansas,33,3,5
Illinois,33,3,4
Tennessee,24,2,6
New York,22,2,4
Wisconsin,18,1,6
Arizona,15,2,6
New Jersey,15,1,2
Minnesota,14,1,5
Nebraska,12,1,3
Missouri,9,1,2
Nevada,6,1,2
Idaho,5,1,1
North Dakota,1,1,1
Colorado,1,1,1
