State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,333,5,45
Texas,319,10,69
Florida,221,7,49
South Carolina,220,3,43
Ohio,213,4,30
Georgia,210,3,25
California,143,8,40
Pennsylvania,127,2,25
Indiana,125,3,21
Louisiana,115,4,24
Michigan,111,5,36
North Carolina,103,6,30
Utah,102,3,15
Oregon,93,2,17
Iowa,82,2,18
Tennessee,82,4,15
Kentucky,81,3,23
Mississippi,80,4,24
Oklahoma,79,4,29
Illinois,77,3,8
Kansas,71,3,7
Washington,63,2,14
Arkansas,56,3,13
Maryland,48,1,10
New York,48,2,7
Virginia,27,5,13
Massachusetts,25,2,7
Wisconsin,24,1,9
Arizona,24,2,8
Minnesota,21,1,6
Missouri,18,2,8
West Virginia,17,3,11
Nebraska,15,1,6
South Dakota,11,1,3
North Dakota,11,1,3
New Jersey,9,2,5
Idaho,9,1,2
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
