State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,368,4,42
Texas,309,10,62
South Carolina,225,3,39
Florida,224,7,43
Georgia,215,2,23
Ohio,189,3,26
California,151,7,34
Indiana,120,3,19
Oklahoma,107,3,28
Louisiana,107,4,23
North Carolina,106,6,27
Pennsylvania,103,2,21
Michigan,101,4,30
Oregon,82,2,15
Utah,82,3,14
Mississippi,80,4,21
Iowa,76,2,16
Kentucky,73,2,19
Maryland,69,1,8
Tennessee,61,4,11
Kansas,56,3,6
Illinois,55,3,6
New York,53,2,5
Arkansas,52,2,10
Washington,37,2,9
Virginia,25,5,11
Massachusetts,25,2,6
Wisconsin,24,1,9
Minnesota,24,1,5
Arizona,22,2,8
Idaho,21,1,2
Missouri,17,2,5
Nebraska,16,1,6
West Virginia,14,2,8
South Dakota,10,1,2
New Jersey,7,2,3
Nevada,7,1,2
Wyoming,5,1,1
North Dakota,3,1,2
Montana,2,1,1
Colorado,1,1,1
