State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,365,4,38
Texas,284,10,55
South Carolina,267,3,36
Florida,217,7,40
Georgia,208,2,22
Ohio,189,3,25
Louisiana,147,4,19
California,142,7,31
Indiana,124,3,17
Michigan,98,2,23
Utah,92,3,13
Pennsylvania,89,2,16
Oklahoma,88,3,21
North Carolina,86,6,22
Iowa,77,2,15
Oregon,74,2,11
Kansas,72,3,5
Kentucky,66,2,15
Mississippi,64,4,20
Washington,61,2,9
Arkansas,60,2,9
Illinois,49,3,6
Maryland,40,1,5
New York,40,2,4
Tennessee,34,2,7
Virginia,25,4,10
Massachusetts,25,1,5
Arizona,23,2,8
Wisconsin,23,1,7
Missouri,22,1,3
West Virginia,16,2,6
North Dakota,15,1,2
Minnesota,13,1,5
Nebraska,12,1,4
South Dakota,10,1,2
New Jersey,9,1,2
Idaho,8,1,2
Nevada,3,1,2
Colorado,1,1,1
