State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,400,3,28
Florida,301,5,31
Texas,267,8,30
South Carolina,223,3,23
Georgia,185,2,18
Ohio,171,2,13
Indiana,170,2,12
Pennsylvania,138,2,12
North Carolina,132,5,18
Iowa,113,2,13
California,109,5,15
Louisiana,100,2,10
Oklahoma,79,1,13
Mississippi,76,2,8
Arkansas,71,2,6
Oregon,60,1,7
Minnesota,45,1,5
Kentucky,43,2,9
Massachusetts,37,1,3
Michigan,35,3,8
Washington,33,2,4
Maryland,32,1,4
Arizona,32,2,4
Utah,26,2,6
Wisconsin,26,1,4
New Jersey,20,1,1
Illinois,20,1,1
New York,14,1,3
Virginia,13,2,3
West Virginia,12,1,3
Tennessee,10,2,3
Missouri,8,1,2
Kansas,8,2,2
Idaho,5,1,1
Nebraska,5,1,1
Nevada,2,1,2
Wyoming,1,1,1
Hawaii,1,1,1
