State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,416,4,36
Texas,287,9,39
South Carolina,287,3,33
Ohio,215,2,24
Georgia,213,2,23
Florida,198,6,38
Indiana,146,3,15
Pennsylvania,142,3,15
Louisiana,111,3,14
Iowa,100,2,14
California,99,7,24
Oklahoma,85,3,20
Mississippi,73,3,11
North Carolina,70,5,18
Washington,68,3,9
Utah,68,2,9
Oregon,64,2,8
Arkansas,60,2,7
Michigan,51,3,15
Maryland,49,1,5
Minnesota,41,1,5
Massachusetts,40,1,3
Virginia,36,3,10
Kentucky,32,2,10
Arizona,30,2,6
Tennessee,30,2,5
New York,28,2,4
Illinois,28,3,4
Wisconsin,22,1,5
Kansas,15,2,2
West Virginia,10,1,4
New Jersey,10,1,1
Missouri,6,1,2
Nebraska,4,1,2
Nevada,2,1,2
Idaho,2,1,1
North Dakota,1,1,1
Hawaii,1,1,1
