State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,334,10,66
Alabama,332,5,45
Florida,243,7,49
South Carolina,223,3,42
Georgia,204,3,25
Ohio,200,3,29
California,150,8,37
Indiana,124,3,20
Pennsylvania,115,2,24
Michigan,105,4,32
North Carolina,104,6,29
Louisiana,95,4,23
Oregon,90,2,16
Oklahoma,86,3,28
Utah,85,3,15
Kentucky,84,2,21
Iowa,84,2,18
Kansas,82,3,7
Mississippi,77,4,24
Maryland,72,1,10
Illinois,64,3,7
Tennessee,58,5,13
Washington,50,2,12
Arkansas,49,2,11
New York,43,2,6
Virginia,29,5,12
Missouri,25,2,8
West Virginia,23,3,10
Wisconsin,23,1,9
Arizona,23,2,8
Minnesota,23,1,5
Massachusetts,22,2,6
Idaho,21,1,2
Nebraska,11,1,6
South Dakota,9,1,2
North Dakota,7,1,3
Nevada,6,1,2
New Jersey,5,2,4
Wyoming,2,1,1
Montana,1,1,1
Colorado,1,1,1
