State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,346,10,71
Alabama,303,6,47
Florida,216,8,50
Ohio,214,4,31
South Carolina,213,3,43
Georgia,208,3,24
California,159,8,41
Indiana,126,3,21
Michigan,116,5,36
Louisiana,116,4,25
Pennsylvania,107,2,24
Tennessee,106,4,16
North Carolina,97,7,31
Oregon,97,2,17
Illinois,88,3,10
Utah,87,3,16
Oklahoma,84,4,28
Mississippi,79,4,27
Kansas,76,3,9
Iowa,70,2,18
Washington,67,2,15
Kentucky,64,3,23
New York,48,3,8
Arkansas,46,3,12
Maryland,46,2,11
Minnesota,36,1,7
Missouri,32,2,8
Virginia,30,6,14
Arizona,27,2,8
Wisconsin,23,1,9
Massachusetts,20,2,6
West Virginia,17,3,11
Nebraska,15,1,6
New Jersey,13,2,5
North Dakota,12,1,3
Idaho,11,1,2
South Dakota,9,1,2
Connecticut,7,1,2
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
