State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,320,5,28
Alabama,302,3,23
South Carolina,261,3,22
Texas,233,8,24
Indiana,194,2,12
Ohio,161,1,12
Pennsylvania,159,2,10
North Carolina,134,5,16
Georgia,126,2,14
Louisiana,118,2,9
Iowa,92,2,10
California,82,5,11
Oregon,77,1,6
Oklahoma,76,1,10
Arkansas,73,2,5
Mississippi,50,2,6
Minnesota,50,1,5
Maryland,43,1,4
Michigan,42,3,8
Kentucky,41,2,7
Washington,41,2,4
Arizona,38,2,4
Massachusetts,35,1,2
Wisconsin,32,1,4
New Jersey,30,1,1
Utah,29,2,4
Illinois,25,1,1
West Virginia,20,1,3
Tennessee,15,2,3
New York,14,1,3
Kansas,12,2,2
Missouri,9,1,2
Virginia,7,1,2
Idaho,6,1,1
Nebraska,6,1,1
Nevada,4,1,2
Wyoming,2,1,1
Hawaii,2,1,1
