State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,329,10,62
Alabama,329,5,43
Florida,246,7,45
South Carolina,228,3,40
Georgia,208,2,23
Ohio,190,3,28
California,138,7,34
Pennsylvania,128,2,21
Indiana,123,3,19
North Carolina,106,6,28
Michigan,101,4,30
Louisiana,96,4,23
Oregon,89,2,16
Oklahoma,88,3,28
Utah,84,3,14
Kentucky,83,2,19
Iowa,83,2,16
Kansas,81,3,7
Mississippi,72,4,21
Maryland,66,1,9
Illinois,64,3,6
Arkansas,59,2,11
Tennessee,55,5,13
Washington,49,2,11
New York,39,2,5
Arizona,25,2,8
Virginia,24,5,11
Massachusetts,24,2,6
Minnesota,23,1,5
Wisconsin,22,1,9
Idaho,21,1,2
Missouri,16,2,6
West Virginia,14,2,8
South Dakota,10,1,2
Nebraska,8,1,6
New Jersey,7,2,3
Nevada,6,1,2
North Dakota,2,1,2
Wyoming,2,1,1
Montana,1,1,1
Colorado,1,1,1
