State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,416,4,38
South Carolina,282,3,35
Texas,251,9,54
Florida,241,7,39
Georgia,204,2,22
Ohio,201,3,25
California,141,7,32
Indiana,130,3,17
Louisiana,129,4,19
Pennsylvania,115,3,17
North Carolina,90,6,23
Michigan,89,2,21
Oklahoma,85,3,20
Mississippi,78,4,20
Iowa,76,2,14
Utah,73,3,13
Oregon,70,2,11
Kentucky,67,2,13
Washington,51,2,9
Maryland,49,1,5
Arkansas,48,2,8
Massachusetts,46,1,5
Tennessee,36,2,8
Kansas,35,3,5
Illinois,34,3,5
Virginia,30,4,11
Arizona,28,2,9
New York,27,2,4
Minnesota,19,1,5
West Virginia,18,2,6
Wisconsin,17,1,7
New Jersey,12,1,2
South Dakota,10,1,2
Idaho,9,1,2
Nebraska,7,1,3
Missouri,7,1,2
North Dakota,5,1,1
Nevada,3,1,2
Colorado,1,1,1
