State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,346,5,45
Texas,314,10,66
Florida,224,7,49
South Carolina,220,3,42
Georgia,216,3,25
Ohio,202,3,29
California,150,8,37
Indiana,120,3,20
Pennsylvania,117,2,24
Michigan,107,4,32
Louisiana,105,4,23
North Carolina,101,6,29
Utah,94,3,15
Oregon,89,2,16
Oklahoma,85,3,28
Mississippi,79,4,24
Iowa,79,2,18
Kansas,74,3,7
Kentucky,72,2,21
Maryland,71,1,10
Illinois,70,3,7
Tennessee,67,5,13
Arkansas,60,2,11
Washington,48,2,12
New York,44,2,6
Virginia,37,5,12
Missouri,26,2,8
West Virginia,22,3,10
Wisconsin,21,1,9
Idaho,21,1,2
Massachusetts,20,2,6
Minnesota,19,1,5
Arizona,16,2,8
South Dakota,15,1,2
North Dakota,12,1,3
Nebraska,10,1,6
New Jersey,6,2,4
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
