State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,301,13,47
Alabama,278,6,31
Ohio,199,4,24
Georgia,196,2,16
Florida,172,8,27
South Carolina,167,4,18
California,162,8,33
Pennsylvania,119,2,19
Louisiana,112,4,24
Illinois,112,3,9
Indiana,106,4,17
Iowa,104,3,14
Oregon,104,2,13
Michigan,102,6,22
Tennessee,91,5,14
Kentucky,89,3,19
Utah,85,3,11
North Carolina,78,8,25
Mississippi,77,4,21
Oklahoma,71,4,18
Kansas,66,3,8
Maryland,58,1,9
Arkansas,46,2,8
Wisconsin,41,1,6
New York,40,5,9
Virginia,39,7,11
Massachusetts,29,1,4
Minnesota,28,2,5
North Dakota,27,1,3
Washington,23,2,5
West Virginia,20,3,9
Nebraska,16,1,6
Idaho,15,1,4
South Dakota,15,1,1
New Jersey,12,2,5
Missouri,11,2,5
Arizona,8,2,4
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
