State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,374,4,42
Texas,309,10,62
South Carolina,240,3,39
Georgia,209,2,23
Florida,206,7,42
Ohio,193,3,26
California,142,7,35
Indiana,123,3,18
Louisiana,120,4,23
Pennsylvania,107,2,20
Michigan,105,4,29
Oklahoma,102,3,27
North Carolina,102,6,25
Kentucky,80,2,19
Oregon,80,2,14
Utah,80,3,14
Iowa,76,2,17
Mississippi,73,4,20
Maryland,61,1,8
Tennessee,54,4,10
Kansas,54,3,6
Washington,52,2,9
Illinois,50,3,6
Arkansas,47,2,10
New York,41,2,5
Virginia,30,5,11
Arizona,27,2,8
Wisconsin,25,1,9
Massachusetts,25,1,5
Idaho,21,1,2
Minnesota,20,1,5
West Virginia,18,2,8
Missouri,17,2,5
Nebraska,15,1,5
South Dakota,13,1,2
New Jersey,9,2,3
Wyoming,6,1,1
North Dakota,3,1,2
Nevada,2,1,2
Montana,2,1,1
Colorado,1,1,1
