State,ProjectedPoints,NumberOfSchools,NumberOfProspects
South Carolina,270,3,22
Florida,269,5,27
Texas,257,8,24
Alabama,232,3,23
Indiana,158,2,11
Pennsylvania,134,2,10
North Carolina,128,5,16
Iowa,127,2,10
California,125,4,10
Georgia,116,2,14
Ohio,116,1,12
Louisiana,111,3,10
Arkansas,83,2,5
Oregon,82,1,6
Minnesota,70,1,5
Oklahoma,64,1,10
Arizona,63,2,4
Maryland,62,1,4
Massachusetts,55,1,2
Mississippi,53,2,6
Kentucky,51,2,7
Michigan,47,3,8
Utah,44,2,4
Washington,43,1,3
Wisconsin,32,1,4
New Jersey,30,1,1
West Virginia,25,1,3
New York,24,1,3
Tennessee,21,2,3
Kansas,12,2,2
Nevada,10,1,2
Illinois,10,1,1
Missouri,9,1,2
Virginia,7,1,2
Idaho,6,1,1
Nebraska,5,1,1
Wyoming,2,1,1
Hawaii,2,1,1
