State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,325,10,66
Alabama,320,6,45
Florida,234,8,46
Ohio,218,4,30
Georgia,207,3,23
South Carolina,199,3,35
California,162,7,38
Michigan,117,5,35
Indiana,115,3,20
Tennessee,112,4,15
Oregon,103,2,16
Pennsylvania,95,2,24
Illinois,95,4,10
Louisiana,94,5,28
Utah,88,3,16
Oklahoma,86,4,26
Mississippi,79,4,22
Kentucky,78,3,24
North Carolina,77,6,29
Iowa,73,2,18
Kansas,71,3,9
Maryland,63,2,13
Washington,49,2,12
New York,43,4,9
Virginia,40,7,13
Arkansas,37,3,9
Massachusetts,28,1,5
Minnesota,28,1,4
Missouri,24,2,7
North Dakota,23,1,3
New Jersey,19,2,6
West Virginia,18,3,10
Nebraska,15,1,6
Idaho,15,1,1
South Dakota,13,1,3
Wisconsin,12,1,6
Arizona,6,2,5
Colorado,3,2,2
Connecticut,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Nevada,1,1,1
