State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,407,4,34
South Carolina,288,3,33
Texas,281,9,44
Florida,209,6,37
Ohio,188,2,23
Georgia,184,2,21
Indiana,165,3,17
Pennsylvania,147,3,15
Louisiana,136,4,19
California,95,7,28
Iowa,95,2,14
Washington,90,3,9
Oregon,84,2,9
Oklahoma,78,3,20
Mississippi,74,3,16
North Carolina,71,5,19
Arkansas,61,2,8
Maryland,61,1,5
Michigan,58,2,15
Utah,54,3,11
Kentucky,45,2,11
Illinois,37,3,4
Massachusetts,32,1,3
New York,30,2,4
Tennessee,28,2,5
Virginia,24,3,10
West Virginia,23,2,6
Minnesota,22,1,5
Arizona,21,2,6
New Jersey,20,1,2
Wisconsin,18,1,6
Kansas,12,2,2
Nebraska,8,1,3
Nevada,7,1,2
Missouri,6,1,2
Idaho,5,1,1
North Dakota,1,1,1
Colorado,1,1,1
