State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,296,14,47
Alabama,257,6,30
Georgia,199,2,16
Ohio,198,5,25
California,174,8,35
Florida,148,7,25
South Carolina,141,4,19
Illinois,134,4,13
Pennsylvania,126,2,19
Iowa,124,3,14
Tennessee,116,5,14
Michigan,114,6,24
Indiana,102,4,17
Louisiana,95,4,24
Oregon,90,3,14
North Carolina,89,9,25
Kentucky,87,3,18
Oklahoma,84,4,17
Utah,79,3,11
Mississippi,74,4,20
Maryland,69,2,10
Kansas,65,3,9
Wisconsin,46,1,6
New York,41,6,11
Arkansas,37,2,8
Minnesota,36,2,6
Virginia,32,7,11
Massachusetts,28,2,4
Washington,27,2,5
North Dakota,23,1,3
West Virginia,20,3,8
New Jersey,15,2,7
South Dakota,15,1,1
Nebraska,14,1,4
Idaho,13,1,4
Missouri,12,2,5
Arizona,9,3,5
Colorado,2,2,2
Montana,1,1,1
New Mexico,1,1,1
Nevada,1,1,1
