State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,385,4,35
Florida,328,6,35
South Carolina,276,3,32
Texas,254,9,37
Ohio,226,2,18
Georgia,175,2,20
Pennsylvania,165,2,14
Indiana,135,3,14
Louisiana,127,3,13
California,109,7,21
North Carolina,94,5,18
Iowa,91,2,13
Oklahoma,84,3,19
Mississippi,77,2,9
Washington,54,2,7
Arkansas,53,2,7
Oregon,52,2,8
Maryland,50,1,5
Michigan,42,3,11
Kentucky,38,2,9
Minnesota,37,1,5
Massachusetts,31,1,3
Arizona,29,2,5
Virginia,27,2,7
Utah,27,2,7
Wisconsin,26,1,5
New Jersey,20,1,1
Illinois,20,1,1
Tennessee,17,2,5
West Virginia,12,1,4
New York,12,1,3
Missouri,6,1,2
Kansas,6,2,2
Idaho,5,1,1
Nebraska,2,1,1
Nevada,1,1,1
Hawaii,1,1,1
