State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,295,13,46
Alabama,262,6,28
Georgia,210,2,16
Ohio,194,4,24
California,176,8,34
Florida,156,7,24
South Carolina,150,4,18
Pennsylvania,130,2,18
Illinois,124,3,10
Iowa,119,3,14
Michigan,106,6,22
Louisiana,105,4,24
Tennessee,101,5,14
Indiana,100,4,17
Oregon,94,2,13
Kentucky,87,3,18
Utah,84,3,11
Oklahoma,82,4,17
North Carolina,77,9,25
Mississippi,66,4,19
Maryland,66,1,9
Kansas,58,3,8
Arkansas,44,2,8
New York,42,6,11
Virginia,36,7,11
Minnesota,36,2,6
Wisconsin,35,1,6
Washington,27,2,5
Massachusetts,27,1,3
North Dakota,27,1,3
West Virginia,18,3,8
Idaho,17,1,4
South Dakota,15,1,1
Nebraska,13,1,3
Missouri,11,2,5
New Jersey,10,2,5
Arizona,7,3,5
Colorado,3,2,2
Montana,1,1,1
Nevada,1,1,1
