State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,300,13,46
Alabama,257,6,28
Georgia,203,2,16
Ohio,194,4,24
California,176,8,35
South Carolina,152,4,18
Florida,145,7,25
Illinois,131,4,12
Pennsylvania,130,2,18
Iowa,119,3,14
Michigan,109,6,22
Louisiana,104,4,24
Tennessee,103,5,14
Indiana,99,4,17
Oregon,94,2,13
Utah,88,3,11
Kentucky,84,3,18
Oklahoma,80,4,17
North Carolina,79,9,25
Mississippi,71,4,19
Kansas,64,3,8
Maryland,59,1,9
Wisconsin,45,1,6
New York,42,6,11
Arkansas,38,2,8
Virginia,36,7,11
Minnesota,36,2,6
Washington,28,2,5
Massachusetts,28,2,4
North Dakota,27,1,3
West Virginia,19,3,8
South Dakota,15,1,1
Idaho,14,1,4
Nebraska,13,1,4
Missouri,11,2,5
New Jersey,11,2,5
Arizona,10,3,5
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
